Date,iod
2005-01-01,-0.124
2005-02-01,-0.56
2005-03-01,-0.433
2005-04-01,0.084
2005-05-01,-0.033
2005-06-01,-0.176
2005-07-01,-0.384
2005-08-01,-0.345
2005-09-01,-0.534
2005-10-01,-0.436
2005-11-01,-0.272
2005-12-01,-0.3
2006-01-01,-0.135
2006-02-01,-0.306
2006-03-01,-0.226
2006-04-01,-0.015
2006-05-01,-0.208
2006-06-01,-0.059
2006-07-01,0.04
2006-08-01,0.229
2006-09-01,0.428
2006-10-01,0.577
2006-11-01,0.501
2006-12-01,0.172
2007-01-01,0.225
2007-02-01,0.15
2007-03-01,0.115
2007-04-01,0.1
2007-05-01,0.27
2007-06-01,0.031
2007-07-01,0.045
2007-08-01,0.237
2007-09-01,0.235
2007-10-01,0.068
2007-11-01,-0.023
2007-12-01,-0.227
2008-01-01,0.115
2008-02-01,-0.072
2008-03-01,0.097
2008-04-01,-0.153
2008-05-01,0.179
2008-06-01,0.215
2008-07-01,0.246
2008-08-01,0.124
2008-09-01,0.086
2008-10-01,0.029
2008-11-01,-0.128
2008-12-01,-0.053
2009-01-01,0.031
2009-02-01,0.163
2009-03-01,0.1
2009-04-01,0.126
2009-05-01,0.257
2009-06-01,0.1
2009-07-01,-0.192
2009-08-01,-0.104
2009-09-01,-0.103
2009-10-01,-0.013
2009-11-01,-0.067
2009-12-01,0.16
2010-01-01,0.294
2010-02-01,0.023
2010-03-01,0.458
2010-04-01,0.37
2010-05-01,-0.029
2010-06-01,-0.14
2010-07-01,-0.001
2010-08-01,-0.061
2010-09-01,-0.267
2010-10-01,-0.437
2010-11-01,-0.495
2010-12-01,-0.212
2011-01-01,0.191
2011-02-01,0.241
2011-03-01,0.367
2011-04-01,0.154
2011-05-01,-0.089
2011-06-01,0.055
2011-07-01,0.223
2011-08-01,0.344
2011-09-01,0.202
2011-10-01,0.356
2011-11-01,0.336
2011-12-01,-0.128
2012-01-01,0.046
2012-02-01,-0.078
2012-03-01,0.026
2012-04-01,-0.271
2012-05-01,-0.37
2012-06-01,0.0
2012-07-01,0.546
2012-08-01,0.652
2012-09-01,0.453
2012-10-01,0.11
2012-11-01,-0.099
2012-12-01,0.267
2013-01-01,-0.065
2013-02-01,0.189
2013-03-01,0.083
2013-04-01,-0.297
2013-05-01,-0.506
2013-06-01,-0.497
2013-07-01,-0.181
2013-08-01,-0.194
2013-09-01,-0.31
2013-10-01,-0.168
2013-11-01,0.199
2013-12-01,0.141
2014-01-01,-0.101
2014-02-01,-0.089
2014-03-01,-0.151
2014-04-01,-0.058
2014-05-01,-0.092
2014-06-01,-0.028
2014-07-01,-0.363
2014-08-01,-0.372
2014-09-01,-0.145
2014-10-01,0.141
2014-11-01,0.009
2014-12-01,0.046
2015-01-01,-0.1
2015-02-01,-0.345
2015-03-01,-0.241
2015-04-01,-0.008
2015-05-01,0.24
2015-06-01,0.296
2015-07-01,0.225
2015-08-01,0.568
2015-09-01,0.294
2015-10-01,0.482
2015-11-01,0.347
2015-12-01,0.272
2016-01-01,0.265
2016-02-01,-0.11
2016-03-01,-0.008
2016-04-01,0.146
2016-05-01,-0.113
2016-06-01,-0.443
2016-07-01,-0.757
2016-08-01,-0.443
2016-09-01,-0.437
2016-10-01,-0.371
2016-11-01,-0.382
2016-12-01,-0.31
2017-01-01,-0.086
2017-02-01,0.101
2017-03-01,0.357
2017-04-01,0.498
2017-05-01,0.536
2017-06-01,0.424
2017-07-01,0.52
2017-08-01,0.349
2017-09-01,0.035
2017-10-01,0.015
2017-11-01,0.289
2017-12-01,0.11
2018-01-01,-0.2
2018-02-01,0.216
2018-03-01,-0.12
2018-04-01,-0.083
2018-05-01,0.122
2018-06-01,0.155
2018-07-01,0.053
2018-08-01,0.121
2018-09-01,0.604
2018-10-01,0.684
2018-11-01,0.5
2018-12-01,0.309
2019-01-01,0.387
2019-02-01,0.416
2019-03-01,0.225
2019-04-01,0.258
2019-05-01,0.54
2019-06-01,0.605
2019-07-01,0.597
2019-08-01,0.436
2019-09-01,0.892
2019-10-01,0.964
2019-11-01,0.835
2019-12-01,0.243
2020-01-01,0.173
2020-02-01,0.054
2020-03-01,0.019
2020-04-01,-0.011
2020-05-01,0.298
2020-06-01,0.455
2020-07-01,0.319
2020-08-01,-0.183
2020-09-01,-0.189
2020-10-01,0.074
2020-11-01,0.02
2020-12-01,0.031
2021-01-01,0.051
2021-02-01,0.243
2021-03-01,0.267
2021-04-01,0.25
2021-05-01,0.009
2021-06-01,-0.002
2021-07-01,-0.229
2021-08-01,-0.099
2021-09-01,-0.058
2021-10-01,-0.091
2021-11-01,0.069
2021-12-01,-0.12
2022-01-01,-0.056
2022-02-01,-0.082
2022-03-01,-0.093
2022-04-01,-0.068
2022-05-01,-0.122
2022-06-01,-0.335
2022-07-01,-0.195
2022-08-01,-0.246
2022-09-01,-0.322
2022-10-01,-0.691
2022-11-01,-0.269
2022-12-01,-0.091
2023-01-01,0.11
2023-02-01,0.157
2023-03-01,0.414
2023-04-01,0.56
2023-05-01,0.443
2023-06-01,0.665
2023-07-01,0.498
2023-08-01,0.826
2023-09-01,0.946
2023-10-01,0.804
2023-11-01,0.92
2023-12-01,0.852
2024-01-01,0.765
2024-02-01,0.327
2024-03-01,0.421
2024-04-01,0.44
2024-05-01,0.298
2024-06-01,0.197
2024-07-01,0.033
2024-08-01,0.267
2024-09-01,0.115
2024-10-01,-0.196
2024-11-01,-0.382
2024-12-01,-0.331
2025-01-01,-0.196
2025-02-01,0.017
2025-03-01,0.058
2025-04-01,0.149
2025-05-01,0.107
2025-06-01,-0.014
2025-07-01,-0.072
2025-08-01,-0.42
2025-09-01,-0.467
2025-10-01,-0.448
2025-11-01,-0.256
2025-12-01,-0.017
2026-01-01,0.123
2026-02-01,0.529
2026-03-01,0.285
2026-04-01,0.279
2026-05-01,0.146
