Date,Year,Month,oni,soi,nino34,iod
1948-01-01,,,,,-0.43,
1948-02-01,,,,,-0.11,
1948-03-01,,,,,0.12,
1948-04-01,,,,,-0.0,
1948-05-01,,,,,0.43,
1948-06-01,,,,,-0.06,
1948-07-01,,,,,0.0,
1948-08-01,,,,,-0.22,
1948-09-01,,,,,-0.47,
1948-10-01,,,,,-0.95,
1948-11-01,,,,,-1.01,
1948-12-01,,,,,0.12,
1949-01-01,,,,,-0.38,
1949-02-01,,,,,0.07,
1949-03-01,,,,,-0.85,
1949-04-01,,,,,-0.22,
1949-05-01,,,,,0.03,
1949-06-01,,,,,-1.14,
1949-07-01,,,,,-0.48,
1949-08-01,,,,,-0.5,
1949-09-01,,,,,-0.97,
1949-10-01,,,,,-0.81,
1949-11-01,,,,,-1.64,
1949-12-01,,,,,-1.35,
1950-01-01,1950.0,1.0,-1.53,,-1.41,
1950-02-01,1950.0,2.0,-1.34,,-1.47,
1950-03-01,1950.0,3.0,-1.16,,-1.07,
1950-04-01,1950.0,4.0,-1.18,,-1.25,
1950-05-01,1950.0,5.0,-1.07,,-1.35,
1950-06-01,1950.0,6.0,-0.85,,-1.03,
1950-07-01,1950.0,7.0,-0.54,,-0.8,
1950-08-01,1950.0,8.0,-0.42,,-0.92,
1950-09-01,1950.0,9.0,-0.39,,-1.27,
1950-10-01,1950.0,10.0,-0.44,,-0.91,
1950-11-01,1950.0,11.0,-0.6,,-1.29,
1950-12-01,1950.0,12.0,-0.8,,-1.05,
1951-01-01,1951.0,1.0,-0.82,2.5,-1.12,
1951-02-01,1951.0,2.0,-0.54,1.5,-0.6,
1951-03-01,1951.0,3.0,-0.17,-0.2,-0.28,
1951-04-01,1951.0,4.0,0.18,-0.5,-0.13,
1951-05-01,1951.0,5.0,0.36,-1.1,-0.03,
1951-06-01,1951.0,6.0,0.58,0.3,0.1,
1951-07-01,1951.0,7.0,0.7,-1.7,0.25,
1951-08-01,1951.0,8.0,0.89,-0.4,0.4,
1951-09-01,1951.0,9.0,0.99,-1.8,0.32,
1951-10-01,1951.0,10.0,1.15,-1.6,0.57,
1951-11-01,1951.0,11.0,1.04,-1.3,0.44,
1951-12-01,1951.0,12.0,0.81,-1.2,0.38,
1952-01-01,1952.0,1.0,0.53,-1.5,0.19,
1952-02-01,1952.0,2.0,0.37,-1.0,0.09,
1952-03-01,1952.0,3.0,0.34,0.9,-0.3,
1952-04-01,1952.0,4.0,0.29,-0.4,0.29,
1952-05-01,1952.0,5.0,0.2,1.2,-0.26,
1952-06-01,1952.0,6.0,0.0,1.2,-0.79,
1952-07-01,1952.0,7.0,-0.08,0.8,-0.72,
1952-08-01,1952.0,8.0,0.0,0.1,-0.49,
1952-09-01,1952.0,9.0,0.15,-0.4,-0.4,
1952-10-01,1952.0,10.0,0.1,0.6,-0.2,
1952-11-01,1952.0,11.0,0.04,0.0,-0.44,
1952-12-01,1952.0,12.0,0.15,-2.0,-0.6,
1953-01-01,1953.0,1.0,0.4,0.5,0.27,
1953-02-01,1953.0,2.0,0.6,-0.8,0.18,
1953-03-01,1953.0,3.0,0.63,-0.3,-0.0,
1953-04-01,1953.0,4.0,0.66,0.3,0.37,
1953-05-01,1953.0,5.0,0.75,-2.8,0.35,
1953-06-01,1953.0,6.0,0.77,0.2,0.53,
1953-07-01,1953.0,7.0,0.75,-0.0,0.24,
1953-08-01,1953.0,8.0,0.73,-2.0,0.05,
1953-09-01,1953.0,9.0,0.78,-2.1,0.51,
1953-10-01,1953.0,10.0,0.84,0.1,-0.08,
1953-11-01,1953.0,11.0,0.84,-0.5,0.44,
1953-12-01,1953.0,12.0,0.81,-0.8,-0.14,
1954-01-01,1954.0,1.0,0.76,1.1,0.09,
1954-02-01,1954.0,2.0,0.47,-0.5,0.24,
1954-03-01,1954.0,3.0,-0.05,0.4,-0.25,
1954-04-01,1954.0,4.0,-0.41,1.1,-0.62,
1954-05-01,1954.0,5.0,-0.54,0.8,-0.49,
1954-06-01,1954.0,6.0,-0.5,0.2,-0.63,
1954-07-01,1954.0,7.0,-0.64,0.7,-0.79,
1954-08-01,1954.0,8.0,-0.84,1.8,-1.16,
1954-09-01,1954.0,9.0,-0.9,0.3,-1.34,
1954-10-01,1954.0,10.0,-0.77,0.4,-0.7,
1954-11-01,1954.0,11.0,-0.73,0.2,-0.8,
1954-12-01,1954.0,12.0,-0.66,2.3,-0.95,
1955-01-01,1955.0,1.0,-0.68,-0.9,-0.66,
1955-02-01,1955.0,2.0,-0.62,3.1,-0.74,
1955-03-01,1955.0,3.0,-0.69,1.1,-0.85,
1955-04-01,1955.0,4.0,-0.8,-0.2,-0.89,
1955-05-01,1955.0,5.0,-0.79,1.7,-1.28,
1955-06-01,1955.0,6.0,-0.72,2.2,-0.8,
1955-07-01,1955.0,7.0,-0.68,2.6,-1.27,
1955-08-01,1955.0,8.0,-0.75,2.4,-0.92,
1955-09-01,1955.0,9.0,-1.09,2.2,-1.43,
1955-10-01,1955.0,10.0,-1.42,2.5,-1.94,
1955-11-01,1955.0,11.0,-1.67,2.0,-1.9,
1955-12-01,1955.0,12.0,-1.47,1.6,-1.72,
1956-01-01,1956.0,1.0,-1.11,2.2,-1.44,
1956-02-01,1956.0,2.0,-0.76,2.7,-0.79,
1956-03-01,1956.0,3.0,-0.63,2.2,-0.68,
1956-04-01,1956.0,4.0,-0.54,1.5,-0.72,
1956-05-01,1956.0,5.0,-0.52,2.3,-0.63,
1956-06-01,1956.0,6.0,-0.51,1.8,-0.66,
1956-07-01,1956.0,7.0,-0.57,1.8,-0.78,
1956-08-01,1956.0,8.0,-0.55,2.0,-0.92,
1956-09-01,1956.0,9.0,-0.46,0.1,-0.95,
1956-10-01,1956.0,10.0,-0.42,2.9,-0.82,
1956-11-01,1956.0,11.0,-0.43,0.2,-0.85,
1956-12-01,1956.0,12.0,-0.43,1.8,-0.56,
1957-01-01,1957.0,1.0,-0.25,1.0,-0.4,
1957-02-01,1957.0,2.0,0.06,-0.1,-0.16,
1957-03-01,1957.0,3.0,0.41,0.3,0.0,
1957-04-01,1957.0,4.0,0.72,0.4,0.36,
1957-05-01,1957.0,5.0,0.92,-1.1,0.54,
1957-06-01,1957.0,6.0,1.11,0.3,0.17,
1957-07-01,1957.0,7.0,1.25,0.4,0.35,
1957-08-01,1957.0,8.0,1.32,-0.8,0.81,
1957-09-01,1957.0,9.0,1.33,-1.5,0.33,
1957-10-01,1957.0,10.0,1.39,0.1,0.63,
1957-11-01,1957.0,11.0,1.53,-1.6,0.79,
1957-12-01,1957.0,12.0,1.74,-0.5,0.96,
1958-01-01,1958.0,1.0,1.81,-3.1,1.37,
1958-02-01,1958.0,2.0,1.66,-0.8,1.35,
1958-03-01,1958.0,3.0,1.27,0.4,0.91,
1958-04-01,1958.0,4.0,0.93,0.6,0.44,
1958-05-01,1958.0,5.0,0.74,-0.8,0.35,
1958-06-01,1958.0,6.0,0.64,0.5,0.28,
1958-07-01,1958.0,7.0,0.57,0.7,0.1,
1958-08-01,1958.0,8.0,0.43,1.5,0.15,
1958-09-01,1958.0,9.0,0.39,-0.5,-0.16,
1958-10-01,1958.0,10.0,0.44,0.1,-0.09,
1958-11-01,1958.0,11.0,0.5,-0.7,0.14,
1958-12-01,1958.0,12.0,0.61,-1.0,0.06,
1959-01-01,1959.0,1.0,0.61,-1.5,0.55,
1959-02-01,1959.0,2.0,0.62,-2.3,0.36,
1959-03-01,1959.0,3.0,0.52,2.1,0.16,
1959-04-01,1959.0,4.0,0.33,0.7,0.2,
1959-05-01,1959.0,5.0,0.2,0.8,0.15,
1959-06-01,1959.0,6.0,-0.07,-0.2,-0.29,
1959-07-01,1959.0,7.0,-0.18,-0.4,-0.5,
1959-08-01,1959.0,8.0,-0.28,-0.2,-0.47,
1959-09-01,1959.0,9.0,-0.09,0.0,-0.49,
1959-10-01,1959.0,10.0,-0.03,0.8,-0.25,
1959-11-01,1959.0,11.0,0.05,1.5,-0.25,
1959-12-01,1959.0,12.0,-0.04,1.5,-0.24,
1960-01-01,1960.0,1.0,-0.1,0.2,-0.4,
1960-02-01,1960.0,2.0,-0.1,0.2,-0.37,
1960-03-01,1960.0,3.0,-0.07,1.7,-0.21,
1960-04-01,1960.0,4.0,0.03,1.3,-0.16,
1960-05-01,1960.0,5.0,0.02,0.9,-0.25,
1960-06-01,1960.0,6.0,0.03,0.2,-0.43,
1960-07-01,1960.0,7.0,0.13,0.8,-0.41,
1960-08-01,1960.0,8.0,0.24,1.3,-0.32,
1960-09-01,1960.0,9.0,0.27,1.1,-0.3,
1960-10-01,1960.0,10.0,0.2,0.2,-0.43,
1960-11-01,1960.0,11.0,0.12,0.9,-0.49,
1960-12-01,1960.0,12.0,0.05,1.3,-0.34,
1961-01-01,1961.0,1.0,0.04,-0.4,-0.3,
1961-02-01,1961.0,2.0,0.03,1.5,-0.2,
1961-03-01,1961.0,3.0,0.04,-3.0,-0.41,
1961-04-01,1961.0,4.0,0.09,1.3,-0.37,
1961-05-01,1961.0,5.0,0.23,0.5,-0.27,
1961-06-01,1961.0,6.0,0.27,0.2,-0.03,
1961-07-01,1961.0,7.0,0.14,0.4,-0.41,
1961-08-01,1961.0,8.0,-0.13,0.2,-0.64,
1961-09-01,1961.0,9.0,-0.3,0.1,-0.82,
1961-10-01,1961.0,10.0,-0.26,-0.5,-0.82,
