Date,nagarjuna_sagar_runoff,nagarjuna_sagar_evap,nagarjuna_sagar_soil_moisture,srisailam_runoff,srisailam_evap,srisailam_soil_moisture,almatti_runoff,almatti_evap,almatti_soil_moisture,tungabhadra_runoff,tungabhadra_evap,tungabhadra_soil_moisture,mettur_runoff,mettur_evap,mettur_soil_moisture,krishnaraja_sagara_runoff,krishnaraja_sagara_evap,krishnaraja_sagara_soil_moisture,jayakwadi_runoff,jayakwadi_evap,jayakwadi_soil_moisture,ujjani_runoff,ujjani_evap,ujjani_soil_moisture,sardar_sarovar_runoff,sardar_sarovar_evap,sardar_sarovar_soil_moisture,ukai_runoff,ukai_evap,ukai_soil_moisture
2010-01-01,0.0,-1.537612,0.209824,0.000276,-1.785674,0.145599,0.0,-1.817554,0.248032,0.0,-2.406306,0.180344,2.2e-05,-2.93509,0.252274,0.000253,-3.190415,0.305008,0.0,-1.501371,0.280319,0.0,-2.627184,0.329056,0.0,-1.67063,0.155106,0.0,-2.09242,0.24469
2010-01-02,0.000186,-1.38347,0.208725,0.0,-1.820476,0.14444,0.0,-1.772111,0.233978,0.0,-2.654376,0.16951,0.0,-2.91303,0.245529,0.0,-3.369297,0.287994,0.0,-1.410028,0.280197,0.0,-2.787498,0.317169,0.0,-1.687393,0.152191,0.0,-1.697051,0.243668
2010-01-03,6.7e-05,-1.19856,0.207596,7e-06,-1.867973,0.143311,7e-06,-1.669666,0.223801,0.0,-2.34974,0.161041,1.5e-05,-2.539387,0.240204,3e-05,-3.332368,0.27478,0.0,-0.906999,0.280075,7e-06,-2.53165,0.306519,0.000194,-1.277098,0.151032,7e-06,-1.433009,0.243042
2010-01-04,0.0,-1.695503,0.206421,0.0,-2.08853,0.142181,0.0,-1.597282,0.216278,0.0,-2.258888,0.153931,0.000134,-2.910337,0.234238,0.0,-3.427261,0.263153,0.0,-0.745973,0.279999,0.0,-2.502891,0.297424,0.0,-1.501574,0.149124,0.0,-1.535614,0.242447
2010-01-05,0.0,-1.379352,0.205322,0.0,-2.047296,0.141098,0.0,-1.498595,0.211121,0.0,-1.972039,0.147858,0.0,-2.8382,0.227798,0.0,-3.327155,0.252701,0.0,-1.08535,0.279922,0.0,-2.258304,0.289978,0.0,-1.542022,0.147263,0.0,-1.798617,0.241943
2010-01-06,7e-06,-1.468318,0.204605,0.0,-1.755783,0.140411,0.0,-1.240504,0.20784,0.0,-2.420093,0.142715,0.0,-2.754026,0.222549,0.0,-3.266539,0.243423,0.0,-1.486857,0.279846,0.0,-2.914195,0.282944,0.0,-1.607851,0.14537,0.0,-2.006106,0.24147
2010-01-07,0.001304,-1.281648,0.207138,0.001229,-1.157538,0.143005,0.0,-1.272556,0.205002,0.0,-2.622963,0.137863,1.5e-05,-2.880141,0.217087,0.0,-3.187773,0.234634,0.0,-1.588195,0.2798,0.0,-2.848796,0.277405,0.0,-1.643041,0.143478,0.0,-2.069629,0.240936
2010-01-08,0.0,-1.120184,0.206131,0.0,-1.723126,0.141922,0.0,-1.089524,0.202972,0.0,-1.967607,0.134857,0.0,-2.752676,0.21199,0.0,-3.080003,0.226746,0.0,-1.498354,0.279739,0.0,-2.494348,0.272964,0.0,-1.595282,0.141647,0.0,-1.68005,0.240417
2010-01-09,7e-06,-0.993167,0.205231,0.000156,-1.39078,0.141968,0.0,-0.936074,0.201355,0.000484,-1.465452,0.134567,0.001274,-1.342866,0.213028,0.001758,-1.842226,0.226349,0.0,-1.397434,0.279709,0.0,-2.627764,0.268814,0.0,-1.5392,0.139969,0.0,-1.839667,0.239975
2010-01-10,0.002511,-1.066606,0.209396,0.002183,-1.428092,0.145874,8.9e-05,-0.940965,0.199783,0.000812,-1.391708,0.134766,0.001125,-1.898214,0.212341,0.00038,-2.682075,0.220245,0.0,-1.10702,0.279678,0.0,-1.866496,0.265259,0.0,-1.490743,0.138611,0.0,-1.719509,0.239685
2010-01-11,0.002354,-1.051566,0.212234,0.008278,-1.49776,0.164017,0.003621,-0.908954,0.203018,0.001669,-1.497141,0.136475,0.001036,-2.296455,0.210251,3.7e-05,-2.805064,0.213257,6.7e-05,-0.791239,0.279755,0.009723,-1.828691,0.276398,0.000224,-1.117366,0.138397,2.2e-05,-1.275645,0.239532
2010-01-12,0.000142,-1.221465,0.210754,0.000291,-1.855384,0.160217,0.023559,-1.632026,0.252579,0.002675,-1.245055,0.145584,0.000238,-2.131552,0.205765,0.001229,-2.475588,0.209564,0.000298,-0.664338,0.298157,0.000976,-1.873078,0.360794,0.0,-1.549914,0.139664,0.0,-1.587852,0.239349
2010-01-13,0.001758,-1.04069,0.212677,0.023529,-1.808764,0.213028,0.00295,-1.753599,0.268372,0.004306,-1.450843,0.157211,0.00152,-2.015224,0.205399,0.003129,-2.282597,0.20961,0.0,-1.961041,0.294693,0.0,-2.441586,0.350647,0.0,-1.463181,0.138474,0.0,-1.870853,0.23912
2010-01-14,0.034519,-1.656272,0.340103,0.018477,-2.180854,0.290772,0.010535,-1.529467,0.272186,0.006877,-2.047185,0.170639,0.001572,-2.54605,0.20607,0.000767,-3.087058,0.212753,0.0,-1.910362,0.292374,0.0,-2.828634,0.335266,0.0,-1.465423,0.137421,0.0,-2.040715,0.238922
2010-01-15,0.035301,-1.481117,0.363754,0.023514,-2.170265,0.318085,0.031948,-1.519754,0.325912,0.000626,-2.57872,0.189758,6.7e-05,-2.860969,0.200729,6.7e-05,-3.17068,0.203781,0.0,-1.264,0.290619,0.008039,-2.058436,0.337158,0.0,-1.432324,0.136383,7e-06,-1.73022,0.238678
2010-01-16,0.013322,-1.823377,0.343002,0.012413,-2.444351,0.316422,0.002608,-1.713197,0.308258,0.000581,-2.14133,0.182449,1.5e-05,-2.617206,0.196457,1.5e-05,-3.489585,0.194855,0.0,-1.202787,0.28923,0.003442,-2.154337,0.340073,0.0,-1.476236,0.1353,1.5e-05,-1.465047,0.238464
2010-01-17,0.000574,-2.212226,0.316742,0.001609,-2.422348,0.281891,0.003979,-1.921769,0.291946,0.001006,-2.034796,0.175064,0.0,-2.978965,0.191498,7e-06,-3.33249,0.187027,7e-06,-1.019038,0.288147,0.00044,-2.198328,0.330429,0.0,-1.416132,0.134399,0.0,-1.364406,0.238281
2010-01-18,4.5e-05,-2.285341,0.3013,0.000969,-2.658558,0.257309,0.00532,-1.720618,0.282883,0.00073,-1.782202,0.167999,4.5e-05,-2.187038,0.18808,0.000119,-2.715438,0.181137,0.0,-1.207048,0.286942,0.0,-2.205082,0.318527,0.0,-1.432316,0.133545,0.0,-1.405631,0.238098
2010-01-19,0.000127,-2.498339,0.289139,0.000291,-2.686802,0.237289,0.00041,-1.61146,0.267471,0.000626,-2.055993,0.161392,0.000797,-2.095293,0.186569,0.000164,-2.550284,0.1763,0.0,-1.285875,0.285873,0.0,-2.626735,0.307465,0.0,-1.458423,0.132675,0.0,-1.601007,0.237885
2010-01-20,0.0,-2.511532,0.278839,0.0,-2.919556,0.218994,0.0,-2.026574,0.249374,0.0,-2.447963,0.152634,0.000224,-2.126344,0.18512,0.000805,-2.417318,0.172852,0.0,-1.527833,0.284927,0.0,-3.036907,0.296722,0.0,-1.53293,0.131729,0.0,-1.896054,0.237671
2010-01-21,0.0,-2.374162,0.269928,0.0,-2.595834,0.204941,0.0,-1.969322,0.234619,0.0,-2.91354,0.144608,7e-06,-2.621443,0.181412,7e-06,-3.078226,0.166977,0.0,-1.658088,0.284088,0.0,-2.940273,0.287842,0.0,-1.468961,0.130844,0.0,-1.732033,0.237442
2010-01-22,0.0,-2.182568,0.262665,0.0,-2.349863,0.193588,0.0,-1.630569,0.224716,0.0,-2.362389,0.138855,0.0,-2.687689,0.177826,0.0,-3.017804,0.161362,0.0,-1.410741,0.283432,0.0,-2.764884,0.281036,0.0,-1.480474,0.130096,0.0,-1.623707,0.237228
2010-01-23,0.0,-2.113788,0.256393,0.0,-2.286108,0.184036,0.0,-1.425098,0.217896,0.0,-2.462285,0.134186,0.0,-2.932059,0.174805,0.0,-2.992155,0.156662,0.0,-1.466043,0.282898,0.0,-2.751726,0.275681,0.0,-1.45021,0.129486,0.0,-1.693902,0.237061
2010-01-24,0.0,-2.309343,0.249939,0.0,-2.30389,0.175568,0.0,-1.281017,0.212875,0.0,-1.947821,0.130524,0.0,-2.486003,0.172318,0.0,-2.771176,0.152451,0.0,-0.966266,0.282455,0.0,-2.408252,0.271133,0.0,-1.435953,0.128922,0.0,-1.38736,0.236923
2010-01-25,0.0,-2.073627,0.244125,0.0,-2.199431,0.168533,0.0,-1.1923,0.209061,0.0,-1.870776,0.127762,1.5e-05,-2.029288,0.170685,1.5e-05,-2.484387,0.149292,0.0,-0.978818,0.282074,0.0,-2.104634,0.267242,0.0,-1.425565,0.128326,0.0,-1.582334,0.236786
2010-01-26,0.0,-1.859185,0.23938,0.0,-2.050179,0.162903,4e-06,-1.092113,0.206131,0.0,-1.794686,0.125885,6.3e-05,-2.039993,0.169357,0.0,-2.494722,0.1465,0.0,-1.348648,0.281723,0.0,-2.534772,0.263504,0.0,-1.41322,0.127808,0.0,-1.800299,0.236649
2010-01-27,1.5e-05,-1.599376,0.235611,4.5e-05,-1.52046,0.159195,0.0,-0.944811,0.203842,0.0,-1.562945,0.124649,1.5e-05,-1.993033,0.168106,7e-06,-2.37922,0.144012,0.0,-1.436563,0.281357,0.0,-2.562201,0.260071,0.0,-1.394521,0.12735,0.0,-1.671471,0.236496
2010-01-28,8.2e-05,-1.678467,0.232254,0.000522,-1.592527,0.157028,0.0,-0.903483,0.201859,0.0,-1.763597,0.12352,3e-05,-2.163145,0.167053,0.0,-2.608875,0.141357,0.0,-1.418538,0.281036,0.0,-1.963662,0.257324,0.0,-1.386269,0.126923,0.0,-1.589732,0.236328
2010-01-29,0.000328,-1.580931,0.229568,8.9e-05,-1.564982,0.154007,0.0,-0.911196,0.199814,0.0,-1.718051,0.122543,0.0,-2.273437,0.165894,0.0,-2.727823,0.138687,0.0,-0.922081,0.280762,0.0,-1.79388,0.254852,0.0,-1.365466,0.126572,0.0,-1.365192,0.236221
2010-01-30,7e-06,-1.805046,0.225693,0.0,-2.041695,0.150269,1.5e-05,-0.8956,0.198029,7e-06,-1.713338,0.121887,0.0,-2.279167,0.164841,0.0,-2.708681,0.136353,0.0,-1.296045,0.280533,1.5e-05,-2.354864,0.252686,0.0,-1.38482,0.12616,1.5e-05,-1.647215,0.236114
