Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Almatti,0.0,91.465073
2010-01-02,Almatti,0.0,71.335694
2010-01-03,Almatti,0.0,44.496522000000006
2010-01-04,Almatti,0.0,26.486025
2010-01-05,Almatti,0.0,22.954555000000003
2010-01-06,Almatti,0.0,18.010497
2010-01-07,Almatti,0.0,38.49302300000001
2010-01-08,Almatti,0.0,91.465073
2010-01-09,Almatti,0.0,107.003541
2010-01-10,Almatti,0.0,107.709835
2010-01-11,Almatti,0.0,109.828717
2010-01-12,Almatti,0.0,107.709835
2010-01-13,Almatti,0.0,106.87993955
2010-01-14,Almatti,0.0,106.0500441
2010-01-15,Almatti,0.0,105.22014865
2010-01-16,Almatti,0.0,104.3902532
2010-01-17,Almatti,0.0,103.56035775
2010-01-18,Almatti,0.0,102.7304623
2010-01-19,Almatti,0.0,101.90056685
2010-01-20,Almatti,0.0,101.0706714
2010-01-21,Almatti,0.0,100.24077595
2010-01-22,Almatti,0.0,99.4108805
2010-01-23,Almatti,0.0,98.58098505
2010-01-24,Almatti,0.0,97.7510896
2010-01-25,Almatti,0.0,96.92119415
2010-01-26,Almatti,0.0,96.0912987
2010-01-27,Almatti,0.0,95.26140325
2010-01-28,Almatti,0.0,94.4315078
2010-01-29,Almatti,0.0,93.60161235
2010-01-30,Almatti,0.0,92.7717169
2010-01-31,Almatti,0.0,91.94182145
2010-02-01,Almatti,0.0,91.111926
2010-02-02,Almatti,0.0,70.982547
2010-02-03,Almatti,0.0,44.496522000000006
2010-02-04,Almatti,0.0,26.486025
2010-02-05,Almatti,0.0,22.954555000000003
2010-02-06,Almatti,0.0,18.010497
2010-02-07,Almatti,0.0,38.84617000000001
2010-02-08,Almatti,0.0,91.465073
2010-02-09,Almatti,0.0,105.9441
2010-02-10,Almatti,0.0,107.709835
2010-02-11,Almatti,0.0,109.828717
2010-02-12,Almatti,0.0,107.356688
2010-02-13,Almatti,0.0,106.35956705882352
2010-02-14,Almatti,0.0,105.36244611764708
2010-02-15,Almatti,0.0,104.3653251764706
2010-02-16,Almatti,0.0,103.36820423529412
2010-02-17,Almatti,0.0,102.37108329411764
2010-02-18,Almatti,0.0,101.37396235294118
2010-02-19,Almatti,0.0,100.37684141176472
2010-02-20,Almatti,0.0,99.37972047058824
2010-02-21,Almatti,0.0,98.38259952941178
2010-02-22,Almatti,0.0,97.3854785882353
2010-02-23,Almatti,0.0,96.38835764705884
2010-02-24,Almatti,0.0,95.39123670588238
2010-02-25,Almatti,0.0,94.39411576470587
2010-02-26,Almatti,0.0,93.3969948235294
2010-02-27,Almatti,0.0,92.39987388235296
2010-02-28,Almatti,0.0,91.40275294117647
2010-03-01,Almatti,0.0,90.405632
2010-03-02,Almatti,0.0,70.982547
2010-03-03,Almatti,0.0,44.143375000000006
2010-03-04,Almatti,0.0,26.486025
2010-03-05,Almatti,0.0,22.601408000000003
2010-03-06,Almatti,0.0,18.010497
2010-03-07,Almatti,0.0,39.19931700000001
2010-03-08,Almatti,0.0,91.111926
2010-03-09,Almatti,0.0,107.003541
2010-03-10,Almatti,0.0,107.709835
2010-03-11,Almatti,0.0,109.828717
2010-03-12,Almatti,0.0,106.297247
2010-03-13,Almatti,0.0,105.46735155
2010-03-14,Almatti,0.0,104.6374561
2010-03-15,Almatti,0.0,103.80756065
2010-03-16,Almatti,0.0,102.9776652
2010-03-17,Almatti,0.0,102.14776975
2010-03-18,Almatti,0.0,101.3178743
2010-03-19,Almatti,0.0,100.48797885
2010-03-20,Almatti,0.0,99.6580834
2010-03-21,Almatti,0.0,98.82818795
