Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Krishnaraja Sagara,145.945,38.49302300000001
2010-01-02,Krishnaraja Sagara,110.237,33.548965
2010-01-03,Krishnaraja Sagara,99.081,25.779731
2010-01-04,Krishnaraja Sagara,90.133,17.304203
2010-01-05,Krishnaraja Sagara,67.734,9.888116000000002
2010-01-06,Krishnaraja Sagara,67.734,3.884617
2010-01-07,Krishnaraja Sagara,72.236,3.884617
2010-01-08,Krishnaraja Sagara,85.658,15.891615000000002
2010-01-09,Krishnaraja Sagara,54.736,27.192319
2010-01-10,Krishnaraja Sagara,60.372,34.961553
2010-01-11,Krishnaraja Sagara,64.846,40.965052
2010-01-12,Krishnaraja Sagara,44.656,40.965052
2010-01-13,Krishnaraja Sagara,63.09,40.841450550000005
2010-01-14,Krishnaraja Sagara,60.117,40.7178491
2010-01-15,Krishnaraja Sagara,52.216,40.59424765
2010-01-16,Krishnaraja Sagara,40.493,40.4706462
2010-01-17,Krishnaraja Sagara,44.429,40.34704475
2010-01-18,Krishnaraja Sagara,38.001,40.2234433
2010-01-19,Krishnaraja Sagara,38.596,40.09984185
2010-01-20,Krishnaraja Sagara,29.166,39.9762404
2010-01-21,Krishnaraja Sagara,36.529,39.852638950000006
2010-01-22,Krishnaraja Sagara,27.637,39.7290375
2010-01-23,Krishnaraja Sagara,25.938,39.60543605
2010-01-24,Krishnaraja Sagara,24.013,39.481834600000006
2010-01-25,Krishnaraja Sagara,25.344,39.35823315
2010-01-26,Krishnaraja Sagara,27.411,39.2346317
2010-01-27,Krishnaraja Sagara,21.039,39.11103025
2010-01-28,Krishnaraja Sagara,27.835,38.9874288
2010-01-29,Krishnaraja Sagara,28.827,38.86382735
2010-01-30,Krishnaraja Sagara,20.756,38.7402259
2010-01-31,Krishnaraja Sagara,16.084,38.61662445
2010-02-01,Krishnaraja Sagara,11.723,38.49302300000001
2010-02-02,Krishnaraja Sagara,8.438,33.195818
2010-02-03,Krishnaraja Sagara,8.665,25.426584
2010-02-04,Krishnaraja Sagara,6.258,16.951056
2010-02-05,Krishnaraja Sagara,7.051,9.534969000000002
2010-02-06,Krishnaraja Sagara,5.89,3.531470000000001
2010-02-07,Krishnaraja Sagara,6.57,3.884617
2010-02-08,Krishnaraja Sagara,6.541,18.010497
2010-02-09,Krishnaraja Sagara,6.286,28.251760000000004
