Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Mettur,97.345,55.091
2010-01-02,Mettur,95.606,38.846
2010-01-03,Mettur,98.27,36.727
2010-01-04,Mettur,80.697,34.255
2010-01-05,Mettur,78.317,34.962
2010-01-06,Mettur,77.154,38.14
2010-01-07,Mettur,70.556,42.024
2010-01-08,Mettur,59.28,43.79
2010-01-09,Mettur,57.005,49.087
2010-01-10,Mettur,50.65,36.374
2010-01-11,Mettur,51.581,30.017
2010-01-12,Mettur,41.811,92.171
2010-01-13,Mettur,46.802,90.3
2010-01-14,Mettur,38.18,88.428
2010-01-15,Mettur,39.311,86.556
2010-01-16,Mettur,37.848,84.685
2010-01-17,Mettur,47.2,82.813
2010-01-18,Mettur,49.896,80.941
2010-01-19,Mettur,42.618,79.07
2010-01-20,Mettur,47.233,77.198
2010-01-21,Mettur,36.512,75.326
2010-01-22,Mettur,51.152,73.455
2010-01-23,Mettur,50.21,71.583
2010-01-24,Mettur,55.98,69.711
2010-01-25,Mettur,48.225,67.839
2010-01-26,Mettur,50.65,65.968
2010-01-27,Mettur,59.027,64.096
2010-01-28,Mettur,41.727,62.224
2010-01-29,Mettur,55.398,60.353
2010-01-30,Mettur,48.926,58.481
2010-01-31,Mettur,43.84,56.609
2010-02-01,Mettur,53.033,54.738
2010-02-02,Mettur,48.225,39.199
2010-02-03,Mettur,34.954,36.727
2010-02-04,Mettur,43.681,34.255
2010-02-05,Mettur,40.116,34.962
2010-02-06,Mettur,41.378,38.493
2010-02-07,Mettur,42.2,42.024
2010-02-08,Mettur,26.379,45.203
2010-02-09,Mettur,25.489,48.734
2010-02-10,Mettur,30.767,36.021
2010-02-11,Mettur,25.078,31.077
2010-02-12,Mettur,31.075,93.231
2010-02-13,Mettur,42.163,90.925
2010-02-14,Mettur,38.97,88.619
2010-02-15,Mettur,29.99,86.313
2010-02-16,Mettur,26.4,84.007
2010-02-17,Mettur,25.725,81.702
2010-02-18,Mettur,45.917,79.396
2010-02-19,Mettur,34.021,77.09
2010-02-20,Mettur,36.406,74.784
2010-02-21,Mettur,57.8,72.478
2010-02-22,Mettur,56.608,70.172
2010-02-23,Mettur,54.08,67.866
2010-02-24,Mettur,41.131,65.561
2010-02-25,Mettur,58.123,63.255
2010-02-26,Mettur,52.143,60.949
2010-02-27,Mettur,48.92,58.643
2010-02-28,Mettur,48.92,56.337
2010-03-01,Mettur,46.883,54.031
