Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Sardar Sarovar,670.989,50.853
2010-01-02,Sardar Sarovar,717.84,51.559
2010-01-03,Sardar Sarovar,767.575,49.794
2010-01-04,Sardar Sarovar,674.092,45.556
2010-01-05,Sardar Sarovar,913.472,36.727
2010-01-06,Sardar Sarovar,984.69,25.073
2010-01-07,Sardar Sarovar,1428.176,13.773
2010-01-08,Sardar Sarovar,1025.147,24.014
2010-01-09,Sardar Sarovar,1003.105,44.85
2010-01-10,Sardar Sarovar,1349.684,49.087
2010-01-11,Sardar Sarovar,1071.563,51.913
2010-01-12,Sardar Sarovar,963.559,50.853
2010-01-13,Sardar Sarovar,804.965,50.835
2010-01-14,Sardar Sarovar,880.528,50.818
2010-01-15,Sardar Sarovar,757.604,50.8
2010-01-16,Sardar Sarovar,1042.023,50.782
2010-01-17,Sardar Sarovar,1235.59,50.765
2010-01-18,Sardar Sarovar,1097.76,50.747
2010-01-19,Sardar Sarovar,1661.749,50.73
2010-01-20,Sardar Sarovar,1415.494,50.712
2010-01-21,Sardar Sarovar,1169.239,50.694
2010-01-22,Sardar Sarovar,1179.347,50.677
2010-01-23,Sardar Sarovar,861.424,50.659
2010-01-24,Sardar Sarovar,418.418,50.641
2010-01-25,Sardar Sarovar,1047.832,50.624
2010-01-26,Sardar Sarovar,1180.453,50.606
2010-01-27,Sardar Sarovar,1013.319,50.588
2010-01-28,Sardar Sarovar,1031.738,50.571
2010-01-29,Sardar Sarovar,1049.792,50.553
2010-01-30,Sardar Sarovar,889.868,50.535
2010-01-31,Sardar Sarovar,1012.573,50.518
2010-02-01,Sardar Sarovar,969.981,50.5
2010-02-02,Sardar Sarovar,1079.487,51.559
2010-02-03,Sardar Sarovar,887.5,50.147
2010-02-04,Sardar Sarovar,883.511,45.556
2010-02-05,Sardar Sarovar,718.135,36.727
2010-02-06,Sardar Sarovar,692.921,24.367
2010-02-07,Sardar Sarovar,657.975,13.773
2010-02-08,Sardar Sarovar,749.752,24.367
2010-02-09,Sardar Sarovar,734.417,44.143
2010-02-10,Sardar Sarovar,678.993,49.087
2010-02-11,Sardar Sarovar,813.902,51.913
2010-02-12,Sardar Sarovar,674.279,50.147
2010-02-13,Sardar Sarovar,474.434,50.147
2010-02-14,Sardar Sarovar,556.99,50.147
2010-02-15,Sardar Sarovar,443.992,50.147
2010-02-16,Sardar Sarovar,673.78,50.147
2010-02-17,Sardar Sarovar,706.715,50.147
2010-02-18,Sardar Sarovar,772.979,50.147
2010-02-19,Sardar Sarovar,1025.351,50.147
2010-02-20,Sardar Sarovar,1044.268,50.147
2010-02-21,Sardar Sarovar,1105.412,50.147
2010-02-22,Sardar Sarovar,990.188,50.147
2010-02-23,Sardar Sarovar,1030.236,50.147
2010-02-24,Sardar Sarovar,1043.861,50.147
2010-02-25,Sardar Sarovar,1075.27,50.147
2010-02-26,Sardar Sarovar,1237.926,50.147
2010-02-27,Sardar Sarovar,1280.606,50.147
2010-02-28,Sardar Sarovar,1444.602,50.147
2010-03-01,Sardar Sarovar,830.159,50.147
2010-03-02,Sardar Sarovar,701.081,52.266
2010-03-03,Sardar Sarovar,782.381,49.441
2010-03-04,Sardar Sarovar,998.275,45.909
2010-03-05,Sardar Sarovar,1016.904,36.021
2010-03-06,Sardar Sarovar,1029.0,24.014
2010-03-07,Sardar Sarovar,1053.329,15.892
2010-03-08,Sardar Sarovar,1019.73,24.72
2010-03-09,Sardar Sarovar,1019.701,43.437
2010-03-10,Sardar Sarovar,1158.095,49.087
2010-03-11,Sardar Sarovar,1052.093,52.266
2010-03-12,Sardar Sarovar,1002.991,49.441
2010-03-13,Sardar Sarovar,1158.552,49.458
2010-03-14,Sardar Sarovar,1126.588,49.476
2010-03-15,Sardar Sarovar,771.371,49.494
2010-03-16,Sardar Sarovar,656.252,49.511
2010-03-17,Sardar Sarovar,1089.27,49.529
2010-03-18,Sardar Sarovar,1029.0,49.546
2010-03-19,Sardar Sarovar,1125.068,49.564
2010-03-20,Sardar Sarovar,1251.422,49.582
2010-03-21,Sardar Sarovar,1191.388,49.599
2010-03-22,Sardar Sarovar,1043.43,49.617
2010-03-23,Sardar Sarovar,998.275,49.635
2010-03-24,Sardar Sarovar,920.251,49.652
2010-03-25,Sardar Sarovar,1226.45,49.67
2010-03-26,Sardar Sarovar,1107.099,49.688
2010-03-27,Sardar Sarovar,1167.075,49.705
2010-03-28,Sardar Sarovar,1053.329,49.723
2010-03-29,Sardar Sarovar,876.967,49.741
2010-03-30,Sardar Sarovar,999.942,49.758
2010-03-31,Sardar Sarovar,889.385,49.776
2010-04-01,Sardar Sarovar,789.81,49.794
2010-04-02,Sardar Sarovar,839.297,52.266
2010-04-03,Sardar Sarovar,1101.128,49.087
2010-04-04,Sardar Sarovar,1126.588,46.615
2010-04-05,Sardar Sarovar,1099.261,35.668
2010-04-06,Sardar Sarovar,1131.282,23.308
2010-04-07,Sardar Sarovar,1246.238,16.598
2010-04-08,Sardar Sarovar,1013.091,25.427
2010-04-09,Sardar Sarovar,1274.29,42.731
2010-04-10,Sardar Sarovar,1255.562,49.441
2010-04-11,Sardar Sarovar,1180.453,52.972
2010-04-12,Sardar Sarovar,1034.145,48.734
2010-04-13,Sardar Sarovar,1124.778,48.79
2010-04-14,Sardar Sarovar,1280.606,48.846
2010-04-15,Sardar Sarovar,1414.081,48.902
2010-04-16,Sardar Sarovar,1378.14,48.957
2010-04-17,Sardar Sarovar,1200.362,49.013
2010-04-18,Sardar Sarovar,923.873,49.069
2010-04-19,Sardar Sarovar,999.777,49.125
2010-04-20,Sardar Sarovar,958.447,49.18
2010-04-21,Sardar Sarovar,885.004,49.236
2010-04-22,Sardar Sarovar,1037.801,49.292
2010-04-23,Sardar Sarovar,744.375,49.348
2010-04-24,Sardar Sarovar,565.113,49.403
2010-04-25,Sardar Sarovar,699.112,49.459
2010-04-26,Sardar Sarovar,605.962,49.515
2010-04-27,Sardar Sarovar,713.306,49.571
2010-04-28,Sardar Sarovar,735.269,49.626
2010-04-29,Sardar Sarovar,710.381,49.682
2010-04-30,Sardar Sarovar,871.092,49.738
2010-05-01,Sardar Sarovar,663.575,49.794
2010-05-02,Sardar Sarovar,412.018,51.913
2010-05-03,Sardar Sarovar,334.406,48.028
