Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Tungabhadra,7.391,68.510518
2010-01-02,Tungabhadra,6.909,48.027992000000005
2010-01-03,Tungabhadra,22.682,28.604907000000004
2010-01-04,Tungabhadra,13.082,8.122381
2010-01-05,Tungabhadra,86.423,2.4720290000000005
2010-01-06,Tungabhadra,79.061,4.590911
2010-01-07,Tungabhadra,40.521,12.713292
2010-01-08,Tungabhadra,12.091,60.03499
2010-01-09,Tungabhadra,19.114,103.472071
2010-01-10,Tungabhadra,33.357,104.178365
2010-01-11,Tungabhadra,33.725,102.059483
2010-01-12,Tungabhadra,32.706,104.531512
2010-01-13,Tungabhadra,7.985,102.6951476
2010-01-14,Tungabhadra,1.982,100.8587832
2010-01-15,Tungabhadra,25.74,99.0224188
2010-01-16,Tungabhadra,15.206,97.1860544
2010-01-17,Tungabhadra,14.895,95.34969
2010-01-18,Tungabhadra,15.815,93.51332560000002
2010-01-19,Tungabhadra,16.735,91.6769612
2010-01-20,Tungabhadra,40.465,89.8405968
2010-01-21,Tungabhadra,86.027,88.0042324
2010-01-22,Tungabhadra,106.585,86.167868
2010-01-23,Tungabhadra,68.697,84.3315036
2010-01-24,Tungabhadra,63.515,82.4951392
2010-01-25,Tungabhadra,58.701,80.6587748
2010-01-26,Tungabhadra,50.517,78.82241040000001
2010-01-27,Tungabhadra,41.767,76.98604600000002
2010-01-28,Tungabhadra,34.348,75.14968160000001
2010-01-29,Tungabhadra,35.849,73.3133172
2010-01-30,Tungabhadra,35.254,71.4769528
2010-01-31,Tungabhadra,34.66,69.6405884
2010-02-01,Tungabhadra,34.886,67.804224
2010-02-02,Tungabhadra,35.991,47.321698000000005
2010-02-03,Tungabhadra,36.047,28.251760000000004
2010-02-04,Tungabhadra,36.5,7.769234000000001
2010-02-05,Tungabhadra,37.576,2.4720290000000005
2010-02-06,Tungabhadra,37.237,4.590911
2010-02-07,Tungabhadra,43.466,13.419586
2010-02-08,Tungabhadra,37.775,66.391636
2010-02-09,Tungabhadra,37.86,103.825218
2010-02-10,Tungabhadra,35.509,103.472071
2010-02-11,Tungabhadra,36.699,102.059483
2010-02-12,Tungabhadra,35.962,104.531512
2010-02-13,Tungabhadra,39.729,102.35030994117648
2010-02-14,Tungabhadra,42.9,100.16910788235296
2010-02-15,Tungabhadra,42.985,97.9879058235294
2010-02-16,Tungabhadra,43.438,95.80670376470589
2010-02-17,Tungabhadra,34.207,93.62550170588236
2010-02-18,Tungabhadra,35.141,91.44429964705884
2010-02-19,Tungabhadra,36.076,89.26309758823528
2010-02-20,Tungabhadra,29.931,87.08189552941177
2010-02-21,Tungabhadra,33.386,84.90069347058827
2010-02-22,Tungabhadra,39.219,82.71949141176471
2010-02-23,Tungabhadra,35.934,80.53828935294118
2010-02-24,Tungabhadra,37.293,78.35708729411765
2010-02-25,Tungabhadra,35.056,76.17588523529413
2010-02-26,Tungabhadra,32.253,73.99468317647059
2010-02-27,Tungabhadra,29.138,71.81348111764706
2010-02-28,Tungabhadra,28.515,69.63227905882353
2010-03-01,Tungabhadra,28.657,67.451077
2010-03-02,Tungabhadra,25.853,46.615404000000005
2010-03-03,Tungabhadra,24.806,27.545466
2010-03-04,Tungabhadra,24.239,7.062940000000001
2010-03-05,Tungabhadra,26.165,2.4720290000000005
2010-03-06,Tungabhadra,31.092,4.590911
2010-03-07,Tungabhadra,33.046,14.125880000000002
2010-03-08,Tungabhadra,30.695,71.335694
2010-03-09,Tungabhadra,34.292,103.472071
2010-03-10,Tungabhadra,29.704,104.531512
2010-03-11,Tungabhadra,33.046,102.41263
2010-03-12,Tungabhadra,38.483,104.531512
2010-03-13,Tungabhadra,41.824,102.64217555
2010-03-14,Tungabhadra,36.699,100.75283910000002
2010-03-15,Tungabhadra,0.0,98.86350265000002
2010-03-16,Tungabhadra,38.907,96.9741662
2010-03-17,Tungabhadra,35.368,95.08482975
2010-03-18,Tungabhadra,39.488,93.1954933
2010-03-19,Tungabhadra,43.608,91.30615685
2010-03-20,Tungabhadra,41.428,89.4168204
2010-03-21,Tungabhadra,42.192,87.52748395
2010-03-22,Tungabhadra,42.617,85.6381475
2010-03-23,Tungabhadra,43.948,83.74881105000001
2010-03-24,Tungabhadra,48.054,81.85947460000001
2010-03-25,Tungabhadra,41.711,79.97013815
2010-03-26,Tungabhadra,38.058,78.0808017
2010-03-27,Tungabhadra,29.365,76.19146525000001
2010-03-28,Tungabhadra,32.479,74.3021288
2010-03-29,Tungabhadra,28.798,72.41279235
2010-03-30,Tungabhadra,27.581,70.5234559
2010-03-31,Tungabhadra,26.363,68.63411945
2010-04-01,Tungabhadra,29.478,66.744783
2010-04-02,Tungabhadra,32.961,45.909110000000005
2010-04-03,Tungabhadra,38.737,26.839172
2010-04-04,Tungabhadra,48.025,6.3566460000000005
2010-04-05,Tungabhadra,58.418,2.4720290000000005
2010-04-06,Tungabhadra,55.982,4.590911
2010-04-07,Tungabhadra,50.829,14.479027
2010-04-08,Tungabhadra,40.578,74.867164
2010-04-09,Tungabhadra,28.628,103.118924
2010-04-10,Tungabhadra,20.643,104.531512
2010-04-11,Tungabhadra,13.479,102.765777
2010-04-12,Tungabhadra,22.795,104.178365
2010-04-13,Tungabhadra,24.013,102.18958978947369
2010-04-14,Tungabhadra,7.391,100.20081457894736
2010-04-15,Tungabhadra,0.142,98.21203936842107
2010-04-16,Tungabhadra,0.651,96.22326415789476
2010-04-17,Tungabhadra,0.566,94.23448894736843
2010-04-18,Tungabhadra,0.708,92.2457137368421
2010-04-19,Tungabhadra,0.85,90.2569385263158
2010-04-20,Tungabhadra,1.756,88.26816331578948
2010-04-21,Tungabhadra,4.021,86.27938810526317
2010-04-22,Tungabhadra,7.419,84.29061289473685
2010-04-23,Tungabhadra,14.045,82.30183768421053
2010-04-24,Tungabhadra,57.993,80.3130624736842
2010-04-25,Tungabhadra,42.589,78.3242872631579
2010-04-26,Tungabhadra,44.146,76.33551205263159
2010-04-27,Tungabhadra,31.262,74.34673684210526
2010-04-28,Tungabhadra,28.827,72.35796163157895
2010-04-29,Tungabhadra,25.287,70.36918642105263
2010-04-30,Tungabhadra,25.542,68.38041121052632
2010-05-01,Tungabhadra,25.797,66.391636
2010-05-02,Tungabhadra,25.938,45.202816000000006
2010-05-03,Tungabhadra,26.561,26.486025
2010-05-04,Tungabhadra,27.212,6.003499000000001
2010-05-05,Tungabhadra,27.496,2.4720290000000005
2010-05-06,Tungabhadra,74.275,4.944058000000001
2010-05-07,Tungabhadra,81.326,14.832174
2010-05-08,Tungabhadra,78.353,78.39863400000002
2010-05-09,Tungabhadra,75.351,103.118924
2010-05-10,Tungabhadra,65.157,103.825218
2010-05-11,Tungabhadra,57.37,103.118924
2010-05-12,Tungabhadra,51.169,103.825218
2010-05-13,Tungabhadra,47.261,101.93588155
2010-05-14,Tungabhadra,43.07,100.04654510000002
2010-05-15,Tungabhadra,40.153,98.15720865000002
2010-05-16,Tungabhadra,41.597,96.2678722
2010-05-17,Tungabhadra,41.597,94.37853575
2010-05-18,Tungabhadra,42.9,92.4891993
2010-05-19,Tungabhadra,44.203,90.59986285
