Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Krishnaraja Sagara,145.945,38.493
2010-01-02,Krishnaraja Sagara,110.237,33.549
2010-01-03,Krishnaraja Sagara,99.081,34.212
2010-01-04,Krishnaraja Sagara,90.133,34.875
2010-01-05,Krishnaraja Sagara,67.734,35.538
2010-01-06,Krishnaraja Sagara,67.734,36.201
2010-01-07,Krishnaraja Sagara,72.236,36.864
2010-01-08,Krishnaraja Sagara,85.658,37.527
2010-01-09,Krishnaraja Sagara,54.736,38.19
2010-01-10,Krishnaraja Sagara,60.372,38.853
2010-01-11,Krishnaraja Sagara,64.846,39.516
2010-01-12,Krishnaraja Sagara,44.656,40.178
2010-01-13,Krishnaraja Sagara,63.09,40.841
2010-01-14,Krishnaraja Sagara,60.117,40.718
2010-01-15,Krishnaraja Sagara,52.216,40.594
2010-01-16,Krishnaraja Sagara,40.493,40.471
2010-01-17,Krishnaraja Sagara,44.429,40.347
2010-01-18,Krishnaraja Sagara,38.001,40.223
2010-01-19,Krishnaraja Sagara,38.596,40.1
2010-01-20,Krishnaraja Sagara,29.166,39.976
2010-01-21,Krishnaraja Sagara,36.529,39.853
2010-01-22,Krishnaraja Sagara,27.637,39.729
2010-01-23,Krishnaraja Sagara,25.938,39.605
2010-01-24,Krishnaraja Sagara,24.013,39.482
2010-01-25,Krishnaraja Sagara,25.344,39.358
2010-01-26,Krishnaraja Sagara,27.411,39.235
2010-01-27,Krishnaraja Sagara,21.039,39.111
2010-01-28,Krishnaraja Sagara,27.835,38.987
2010-01-29,Krishnaraja Sagara,28.827,38.864
2010-01-30,Krishnaraja Sagara,20.756,38.74
2010-01-31,Krishnaraja Sagara,16.084,38.617
2010-02-01,Krishnaraja Sagara,11.723,38.493
2010-02-02,Krishnaraja Sagara,8.438,38.689
2010-02-03,Krishnaraja Sagara,8.665,38.884
2010-02-04,Krishnaraja Sagara,6.258,39.08
2010-02-05,Krishnaraja Sagara,7.051,39.275
2010-02-06,Krishnaraja Sagara,5.89,39.471
2010-02-07,Krishnaraja Sagara,6.57,39.667
2010-02-08,Krishnaraja Sagara,6.541,39.862
2010-02-09,Krishnaraja Sagara,6.286,40.058
2010-02-10,Krishnaraja Sagara,6.286,40.254
2010-02-11,Krishnaraja Sagara,6.286,40.449
2010-02-12,Krishnaraja Sagara,6.371,40.645
2010-02-13,Krishnaraja Sagara,6.031,40.84
2010-02-14,Krishnaraja Sagara,5.607,40.716
2010-02-15,Krishnaraja Sagara,7.221,40.591
2010-02-16,Krishnaraja Sagara,5.72,40.466
2010-02-17,Krishnaraja Sagara,5.352,40.342
2010-02-18,Krishnaraja Sagara,10.421,40.217
2010-02-19,Krishnaraja Sagara,7.192,40.093
2010-02-20,Krishnaraja Sagara,6.881,39.968
2010-02-21,Krishnaraja Sagara,4.078,39.843
2010-02-22,Krishnaraja Sagara,5.324,39.719
2010-02-23,Krishnaraja Sagara,5.012,39.594
2010-02-24,Krishnaraja Sagara,9.146,39.469
2010-02-25,Krishnaraja Sagara,6.824,39.345
2010-02-26,Krishnaraja Sagara,6.513,39.22
2010-02-27,Krishnaraja Sagara,6.994,39.095
2010-02-28,Krishnaraja Sagara,8.438,38.971
2010-03-01,Krishnaraja Sagara,8.127,38.846
2010-03-02,Krishnaraja Sagara,8.523,39.014
2010-03-03,Krishnaraja Sagara,10.336,39.182
2010-03-04,Krishnaraja Sagara,10.109,39.349
2010-03-05,Krishnaraja Sagara,10.449,39.517
2010-03-06,Krishnaraja Sagara,12.063,39.685
2010-03-07,Krishnaraja Sagara,12.12,39.853
2010-03-08,Krishnaraja Sagara,8.807,40.02
2010-03-09,Krishnaraja Sagara,8.608,40.188
2010-03-10,Krishnaraja Sagara,11.695,40.356
2010-03-11,Krishnaraja Sagara,8.382,40.524
2010-03-12,Krishnaraja Sagara,8.382,40.691
2010-03-13,Krishnaraja Sagara,11.695,40.859
2010-03-14,Krishnaraja Sagara,12.261,40.753
2010-03-15,Krishnaraja Sagara,10.364,40.647
2010-03-16,Krishnaraja Sagara,10.137,40.541
2010-03-17,Krishnaraja Sagara,10.194,40.435
2010-03-18,Krishnaraja Sagara,9.175,40.329
2010-03-19,Krishnaraja Sagara,9.005,40.223
2010-03-20,Krishnaraja Sagara,6.145,40.117
2010-03-21,Krishnaraja Sagara,8.042,40.012
2010-03-22,Krishnaraja Sagara,4.814,39.906
2010-03-23,Krishnaraja Sagara,5.833,39.8
2010-03-24,Krishnaraja Sagara,4.757,39.694
2010-03-25,Krishnaraja Sagara,5.522,39.588
2010-03-26,Krishnaraja Sagara,4.304,39.482
2010-03-27,Krishnaraja Sagara,4.701,39.376
2010-03-28,Krishnaraja Sagara,4.587,39.27
2010-03-29,Krishnaraja Sagara,5.465,39.164
2010-03-30,Krishnaraja Sagara,3.936,39.058
2010-03-31,Krishnaraja Sagara,5.72,38.952
2010-04-01,Krishnaraja Sagara,5.805,38.846
2010-04-02,Krishnaraja Sagara,4.955,38.986
2010-04-03,Krishnaraja Sagara,4.304,39.125
2010-04-04,Krishnaraja Sagara,4.304,39.264
2010-04-05,Krishnaraja Sagara,4.389,39.404
2010-04-06,Krishnaraja Sagara,4.701,39.543
2010-04-07,Krishnaraja Sagara,3.908,39.683
2010-04-08,Krishnaraja Sagara,3.879,39.822
2010-04-09,Krishnaraja Sagara,7.136,39.961
2010-04-10,Krishnaraja Sagara,7.617,40.101
2010-04-11,Krishnaraja Sagara,5.04,40.24
2010-04-12,Krishnaraja Sagara,5.012,40.38
2010-04-13,Krishnaraja Sagara,4.984,40.519
2010-04-14,Krishnaraja Sagara,9.968,40.426
2010-04-15,Krishnaraja Sagara,12.516,40.333
2010-04-16,Krishnaraja Sagara,17.585,40.24
2010-04-17,Krishnaraja Sagara,17.585,40.147
2010-04-18,Krishnaraja Sagara,17.188,40.054
2010-04-19,Krishnaraja Sagara,10.789,39.961
2010-04-20,Krishnaraja Sagara,21.039,39.868
2010-04-21,Krishnaraja Sagara,18.491,39.775
2010-04-22,Krishnaraja Sagara,25.995,39.683
2010-04-23,Krishnaraja Sagara,23.73,39.59
2010-04-24,Krishnaraja Sagara,22.455,39.497
2010-04-25,Krishnaraja Sagara,23.361,39.404
2010-04-26,Krishnaraja Sagara,20.954,39.311
2010-04-27,Krishnaraja Sagara,17.103,39.218
2010-04-28,Krishnaraja Sagara,13.111,39.125
2010-04-29,Krishnaraja Sagara,17.641,39.032
2010-04-30,Krishnaraja Sagara,17.585,38.939
2010-05-01,Krishnaraja Sagara,25.967,38.846
2010-05-02,Krishnaraja Sagara,21.804,39.007
2010-05-03,Krishnaraja Sagara,19.68,39.167
2010-05-04,Krishnaraja Sagara,24.183,39.328
2010-05-05,Krishnaraja Sagara,26.42,39.488
2010-05-06,Krishnaraja Sagara,26.618,39.649
2010-05-07,Krishnaraja Sagara,24.891,39.809
2010-05-08,Krishnaraja Sagara,25.032,39.97
2010-05-09,Krishnaraja Sagara,35.991,40.13
2010-05-10,Krishnaraja Sagara,32.848,40.291
2010-05-11,Krishnaraja Sagara,37.067,40.451
2010-05-12,Krishnaraja Sagara,40.238,40.612
2010-05-13,Krishnaraja Sagara,40.578,40.541
2010-05-14,Krishnaraja Sagara,38.851,40.471
2010-05-15,Krishnaraja Sagara,36.953,40.4
2010-05-16,Krishnaraja Sagara,36.953,40.329
2010-05-17,Krishnaraja Sagara,34.858,40.259
2010-05-18,Krishnaraja Sagara,29.11,40.188
2010-05-19,Krishnaraja Sagara,26.561,40.117
2010-05-20,Krishnaraja Sagara,24.862,40.047
2010-05-21,Krishnaraja Sagara,26.165,39.976
2010-05-22,Krishnaraja Sagara,23.56,39.906
2010-05-23,Krishnaraja Sagara,22.087,39.835
2010-05-24,Krishnaraja Sagara,33.924,39.764
2010-05-25,Krishnaraja Sagara,30.95,39.694
2010-05-26,Krishnaraja Sagara,32.225,39.623
2010-05-27,Krishnaraja Sagara,30.582,39.552
2010-05-28,Krishnaraja Sagara,30.554,39.482
2010-05-29,Krishnaraja Sagara,29.619,39.411
2010-05-30,Krishnaraja Sagara,27.552,39.341
2010-05-31,Krishnaraja Sagara,25.797,39.27
2010-06-01,Krishnaraja Sagara,24.126,39.199
2010-06-02,Krishnaraja Sagara,24.947,39.328
2010-06-03,Krishnaraja Sagara,23.928,39.456
2010-06-04,Krishnaraja Sagara,28.572,39.585
2010-06-05,Krishnaraja Sagara,31.658,39.713
2010-06-06,Krishnaraja Sagara,39.813,39.841
2010-06-07,Krishnaraja Sagara,31.177,39.97
2010-06-08,Krishnaraja Sagara,33.046,40.098
2010-06-09,Krishnaraja Sagara,32.536,40.227
2010-06-10,Krishnaraja Sagara,29.846,40.355
2010-06-11,Krishnaraja Sagara,31.233,40.483
2010-06-12,Krishnaraja Sagara,24.975,40.612
2010-06-13,Krishnaraja Sagara,23.276,40.538
2010-06-14,Krishnaraja Sagara,23.928,40.463
2010-06-15,Krishnaraja Sagara,25.372,40.389
2010-06-16,Krishnaraja Sagara,26.788,40.314
2010-06-17,Krishnaraja Sagara,48.139,40.24
2010-06-18,Krishnaraja Sagara,81.241,40.166
2010-06-19,Krishnaraja Sagara,90.529,40.091
2010-06-20,Krishnaraja Sagara,76.342,40.017
2010-06-21,Krishnaraja Sagara,85.574,39.943
2010-06-22,Krishnaraja Sagara,70.481,39.868
2010-06-23,Krishnaraja Sagara,88.377,39.794
