Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Mettur,297.028,55.091
2010-01-02,Mettur,296.507,45.909
2010-01-03,Mettur,291.4,36.727
2010-01-04,Mettur,378.734,34.255
2010-01-05,Mettur,387.087,34.962
2010-01-06,Mettur,376.312,38.14
2010-01-07,Mettur,376.312,42.024
2010-01-08,Mettur,371.388,43.79
2010-01-09,Mettur,379.4,49.087
2010-01-10,Mettur,287.8,56.955
2010-01-11,Mettur,320.322,64.823
2010-01-12,Mettur,210.609,72.692
2010-01-13,Mettur,212.105,80.56
2010-01-14,Mettur,166.9,88.428
2010-01-15,Mettur,168.848,86.556
2010-01-16,Mettur,166.473,84.685
2010-01-17,Mettur,177.7,82.813
2010-01-18,Mettur,164.215,80.941
2010-01-19,Mettur,193.143,79.07
2010-01-20,Mettur,259.076,77.198
2010-01-21,Mettur,285.652,75.326
2010-01-22,Mettur,285.434,73.455
2010-01-23,Mettur,265.923,71.583
2010-01-24,Mettur,284.3,69.711
2010-01-25,Mettur,274.643,67.839
2010-01-26,Mettur,273.8,65.968
2010-01-27,Mettur,275.927,64.096
2010-01-28,Mettur,278.696,62.224
2010-01-29,Mettur,301.329,60.353
2010-01-30,Mettur,53.75,58.481
2010-01-31,Mettur,43.67,56.609
2010-02-01,Mettur,65.523,54.738
2010-02-02,Mettur,87.376,45.732
2010-02-03,Mettur,109.23,36.727
2010-02-04,Mettur,83.89,34.255
2010-02-05,Mettur,100.868,34.962
2010-02-06,Mettur,107.059,38.493
2010-02-07,Mettur,98.9,42.024
2010-02-08,Mettur,96.172,45.203
2010-02-09,Mettur,102.477,48.734
2010-02-10,Mettur,99.25,39.906
2010-02-11,Mettur,116.411,31.077
2010-02-12,Mettur,105.1,39.514
2010-02-13,Mettur,97.959,47.952
2010-02-14,Mettur,100.9,56.39
2010-02-15,Mettur,101.278,64.827
2010-02-16,Mettur,101.483,73.264
2010-02-17,Mettur,102.446,81.702
2010-02-18,Mettur,99.265,79.396
2010-02-19,Mettur,100.793,77.09
2010-02-20,Mettur,82.711,74.784
2010-02-21,Mettur,107.2,72.478
2010-02-22,Mettur,111.545,70.172
2010-02-23,Mettur,104.563,67.866
2010-02-24,Mettur,104.089,65.561
2010-02-25,Mettur,117.977,63.255
2010-02-26,Mettur,102.496,60.949
2010-02-27,Mettur,100.9,58.643
2010-02-28,Mettur,87.12,56.337
2010-03-01,Mettur,97.674,54.031
2010-03-02,Mettur,79.641,45.379
2010-03-03,Mettur,103.591,36.727
2010-03-04,Mettur,105.427,34.255
2010-03-05,Mettur,104.237,34.962
2010-03-06,Mettur,104.301,38.493
2010-03-07,Mettur,107.2,42.024
2010-03-08,Mettur,110.293,46.615
2010-03-09,Mettur,105.155,48.381
2010-03-10,Mettur,116.783,40.258
2010-03-11,Mettur,118.674,32.136
2010-03-12,Mettur,115.901,40.7
2010-03-13,Mettur,115.168,49.264
2010-03-14,Mettur,127.1,57.828
2010-03-15,Mettur,135.776,66.391
2010-03-16,Mettur,135.175,74.955
2010-03-17,Mettur,115.465,83.519
2010-03-18,Mettur,117.529,81.506
2010-03-19,Mettur,104.265,79.493
2010-03-20,Mettur,99.626,77.48
2010-03-21,Mettur,96.88,75.467
2010-03-22,Mettur,91.017,73.455
2010-03-23,Mettur,94.008,71.442
2010-03-24,Mettur,93.297,69.429
2010-03-25,Mettur,93.761,67.416
2010-03-26,Mettur,98.155,65.403
2010-03-27,Mettur,94.629,63.39
2010-03-28,Mettur,92.91,61.377
2010-03-29,Mettur,94.923,59.364
2010-03-30,Mettur,98.174,57.351
2010-03-31,Mettur,118.94,55.338
2010-04-01,Mettur,105.437,53.325
2010-04-02,Mettur,109.3,45.026
2010-04-03,Mettur,110.502,36.727
2010-04-04,Mettur,109.3,34.255
2010-04-05,Mettur,117.007,35.315
2010-04-06,Mettur,109.528,38.846
2010-04-07,Mettur,110.055,42.024
2010-04-08,Mettur,109.668,47.675
2010-04-09,Mettur,98.697,48.028
2010-04-10,Mettur,98.66,41.495
2010-04-11,Mettur,103.0,34.962
2010-04-12,Mettur,95.972,42.92
2010-04-13,Mettur,89.951,50.878
2010-04-14,Mettur,85.24,58.836
2010-04-15,Mettur,86.349,66.795
2010-04-16,Mettur,84.475,74.753
2010-04-17,Mettur,83.246,82.711
2010-04-18,Mettur,81.53,80.536
2010-04-19,Mettur,83.128,78.361
2010-04-20,Mettur,82.997,76.187
2010-04-21,Mettur,82.176,74.012
2010-04-22,Mettur,83.164,71.837
2010-04-23,Mettur,91.5,69.663
2010-04-24,Mettur,100.898,67.488
2010-04-25,Mettur,98.9,65.314
2010-04-26,Mettur,84.031,63.139
2010-04-27,Mettur,83.567,60.964
2010-04-28,Mettur,92.153,58.79
2010-04-29,Mettur,101.504,56.615
2010-04-30,Mettur,95.604,54.44
2010-05-01,Mettur,117.59,52.266
2010-05-02,Mettur,153.8,44.496
2010-05-03,Mettur,133.242,36.727
2010-05-04,Mettur,122.316,34.255
2010-05-05,Mettur,120.518,35.315
2010-05-06,Mettur,115.696,38.846
2010-05-07,Mettur,152.362,42.024
2010-05-08,Mettur,150.899,48.028
2010-05-09,Mettur,148.8,48.028
2010-05-10,Mettur,115.913,43.437
2010-05-11,Mettur,101.318,38.846
2010-05-12,Mettur,91.272,48.113
2010-05-13,Mettur,91.625,57.379
2010-05-14,Mettur,91.301,66.646
2010-05-15,Mettur,81.832,75.912
2010-05-16,Mettur,83.37,85.179
2010-05-17,Mettur,79.819,83.078
2010-05-18,Mettur,111.194,80.977
2010-05-19,Mettur,106.519,78.875
2010-05-20,Mettur,125.687,76.774
2010-05-21,Mettur,87.193,74.673
2010-05-22,Mettur,80.165,72.572
2010-05-23,Mettur,76.12,70.47
2010-05-24,Mettur,70.575,68.369
2010-05-25,Mettur,101.568,66.268
2010-05-26,Mettur,87.774,64.167
2010-05-27,Mettur,76.12,62.066
2010-05-28,Mettur,35.722,59.964
2010-05-29,Mettur,33.923,57.863
2010-05-30,Mettur,46.36,55.762
2010-05-31,Mettur,35.459,53.661
2010-06-01,Mettur,33.981,51.559
2010-06-02,Mettur,68.106,43.966
2010-06-03,Mettur,50.403,36.374
2010-06-04,Mettur,94.41,34.255
2010-06-05,Mettur,106.669,35.315
2010-06-06,Mettur,110.3,39.199
2010-06-07,Mettur,135.588,42.024
2010-06-08,Mettur,114.107,48.381
2010-06-09,Mettur,87.449,47.675
2010-06-10,Mettur,63.236,39.199
2010-06-11,Mettur,85.831,41.671
2010-06-12,Mettur,85.139,50.24
2010-06-13,Mettur,102.5,58.808
2010-06-14,Mettur,95.301,67.377
2010-06-15,Mettur,107.059,75.945
2010-06-16,Mettur,99.967,84.514
2010-06-17,Mettur,108.322,82.246
2010-06-18,Mettur,106.104,79.978
2010-06-19,Mettur,109.348,77.711
2010-06-20,Mettur,96.93,75.443
2010-06-21,Mettur,86.512,73.176
2010-06-22,Mettur,87.679,70.908
2010-06-23,Mettur,86.423,68.641
2010-06-24,Mettur,88.533,66.373
2010-06-25,Mettur,86.638,64.105
2010-06-26,Mettur,85.87,61.838
2010-06-27,Mettur,81.22,59.57
2010-06-28,Mettur,89.718,57.303
2010-06-29,Mettur,90.017,55.035
2010-06-30,Mettur,85.761,52.768
2010-07-01,Mettur,86.101,50.5
2010-07-02,Mettur,85.7,43.437
2010-07-03,Mettur,82.031,36.374
2010-07-04,Mettur,81.22,34.255
2010-07-05,Mettur,53.783,35.668
2010-07-06,Mettur,65.235,39.552
2010-07-07,Mettur,86.634,41.671
2010-07-08,Mettur,57.234,48.381
2010-07-09,Mettur,97.285,47.675
2010-07-10,Mettur,97.038,40.259
2010-07-11,Mettur,96.93,45.556
2010-07-12,Mettur,98.641,53.41
2010-07-13,Mettur,99.764,61.264
2010-07-14,Mettur,117.837,69.118
2010-07-15,Mettur,118.333,76.972
2010-07-16,Mettur,68.783,84.826
2010-07-17,Mettur,100.751,82.636
2010-07-18,Mettur,88.0,80.447
2010-07-19,Mettur,98.469,78.257
2010-07-20,Mettur,71.469,76.068
2010-07-21,Mettur,62.967,73.878
2010-07-22,Mettur,62.825,71.689
2010-07-23,Mettur,95.012,69.499
2010-07-24,Mettur,93.697,67.31
2010-07-25,Mettur,65.65,65.12
2010-07-26,Mettur,54.887,62.931
2010-07-27,Mettur,65.013,60.741
2010-07-28,Mettur,49.773,58.552
2010-07-29,Mettur,72.114,56.362
2010-07-30,Mettur,385.119,54.173
2010-07-31,Mettur,378.636,51.983
2010-08-01,Mettur,412.8,49.794
2010-08-02,Mettur,169.715,43.084
2010-08-03,Mettur,156.419,36.374
2010-08-04,Mettur,181.047,33.902
2010-08-05,Mettur,160.402,35.315
2010-08-06,Mettur,168.11,40.259
2010-08-07,Mettur,174.624,41.671
2010-08-08,Mettur,166.4,48.734
2010-08-09,Mettur,178.946,47.675
2010-08-10,Mettur,179.457,40.965
2010-08-11,Mettur,177.566,50.143
2010-08-12,Mettur,180.678,59.321
2010-08-13,Mettur,178.584,68.5
2010-08-14,Mettur,178.825,77.678
2010-08-15,Mettur,179.3,86.856
2010-08-16,Mettur,221.853,84.614
2010-08-17,Mettur,336.705,82.371
2010-08-18,Mettur,371.534,80.129
2010-08-19,Mettur,350.263,77.886
2010-08-20,Mettur,340.696,75.644
2010-08-21,Mettur,352.712,73.402
2010-08-22,Mettur,321.2,71.159
2010-08-23,Mettur,302.442,68.917
2010-08-24,Mettur,291.373,66.674
2010-08-25,Mettur,282.822,64.432
2010-08-26,Mettur,284.799,62.189
2010-08-27,Mettur,277.586,59.947
2010-08-28,Mettur,277.651,57.704
2010-08-29,Mettur,285.4,55.462
2010-08-30,Mettur,280.137,53.219
2010-08-31,Mettur,285.988,50.977
2010-09-01,Mettur,272.984,48.734
2010-09-02,Mettur,354.27,42.554
2010-09-03,Mettur,368.111,36.374
2010-09-04,Mettur,367.164,33.902
2010-09-05,Mettur,395.9,35.315
2010-09-06,Mettur,371.31,40.965
2010-09-07,Mettur,371.739,41.671
2010-09-08,Mettur,470.378,48.734
2010-09-09,Mettur,483.986,46.262
2010-09-10,Mettur,484.6,40.612
2010-09-11,Mettur,504.691,49.768
2010-09-12,Mettur,494.1,58.924
2010-09-13,Mettur,499.273,68.079
2010-09-14,Mettur,500.199,77.235
2010-09-15,Mettur,504.876,86.391
2010-09-16,Mettur,464.643,83.993
2010-09-17,Mettur,485.115,81.595
2010-09-18,Mettur,452.869,79.198
2010-09-19,Mettur,430.1,76.8
2010-09-20,Mettur,374.426,74.402
2010-09-21,Mettur,384.295,72.005
2010-09-22,Mettur,388.814,69.607
2010-09-23,Mettur,468.359,67.209
2010-09-24,Mettur,478.156,64.812
2010-09-25,Mettur,404.505,62.414
2010-09-26,Mettur,391.7,60.016
2010-09-27,Mettur,393.407,57.619
2010-09-28,Mettur,415.102,55.221
2010-09-29,Mettur,400.919,52.823
2010-09-30,Mettur,419.689,50.426
2010-10-01,Mettur,423.436,48.028
2010-10-02,Mettur,417.1,42.201
2010-10-03,Mettur,447.9,36.374
2010-10-04,Mettur,476.55,33.902
2010-10-05,Mettur,256.001,35.668
2010-10-06,Mettur,218.162,41.318
2010-10-07,Mettur,201.781,41.671
2010-10-08,Mettur,138.388,49.087
2010-10-09,Mettur,433.693,45.203
2010-10-10,Mettur,434.5,40.259
2010-10-11,Mettur,379.783,49.547
2010-10-12,Mettur,391.892,58.835
2010-10-13,Mettur,385.267,68.122
2010-10-14,Mettur,444.85,77.41
2010-10-15,Mettur,484.6,86.698
2010-10-16,Mettur,465.813,84.402
2010-10-17,Mettur,487.0,82.107
2010-10-18,Mettur,459.934,79.811
2010-10-19,Mettur,525.752,77.516
2010-10-20,Mettur,529.448,75.22
2010-10-21,Mettur,492.022,72.925
2010-10-22,Mettur,532.163,70.629
2010-10-23,Mettur,531.341,68.334
2010-10-24,Mettur,540.4,66.038
2010-10-25,Mettur,549.988,63.743
2010-10-26,Mettur,460.558,61.448
2010-10-27,Mettur,528.587,59.152
2010-10-28,Mettur,642.536,56.857
2010-10-29,Mettur,470.798,54.561
2010-10-30,Mettur,247.948,52.266
2010-10-31,Mettur,221.3,49.97
2010-11-01,Mettur,204.887,47.675
2010-11-02,Mettur,197.67,38.493
2010-11-03,Mettur,301.789,36.021
2010-11-04,Mettur,231.238,33.902
2010-11-05,Mettur,249.0,35.668
2010-11-06,Mettur,340.033,41.671
2010-11-07,Mettur,249.0,41.671
2010-11-08,Mettur,167.263,49.087
2010-11-09,Mettur,162.198,44.143
2010-11-10,Mettur,135.656,39.906
2010-11-11,Mettur,334.987,49.17
2010-11-12,Mettur,240.57,58.433
2010-11-13,Mettur,208.142,67.697
2010-11-14,Mettur,275.2,76.96
2010-11-15,Mettur,220.866,86.224
2010-11-16,Mettur,228.985,83.77
2010-11-17,Mettur,271.8,81.317
2010-11-18,Mettur,268.891,78.863
2010-11-19,Mettur,261.892,76.41
2010-11-20,Mettur,210.322,73.956
2010-11-21,Mettur,321.2,71.503
2010-11-22,Mettur,388.609,69.049
2010-11-23,Mettur,397.196,66.596
2010-11-24,Mettur,403.015,64.143
2010-11-25,Mettur,270.798,61.689
2010-11-26,Mettur,182.715,59.236
2010-11-27,Mettur,184.594,56.782
2010-11-28,Mettur,195.4,54.329
2010-11-29,Mettur,159.069,51.875
2010-11-30,Mettur,149.399,49.422
2010-12-01,Mettur,143.29,46.969
2010-12-02,Mettur,187.704,38.493
2010-12-03,Mettur,166.771,36.021
2010-12-04,Mettur,234.03,33.902
2010-12-05,Mettur,457.4,35.668
2010-12-06,Mettur,442.265,42.024
2010-12-07,Mettur,343.404,42.024
2010-12-08,Mettur,341.482,49.441
2010-12-09,Mettur,293.391,43.084
2010-12-10,Mettur,338.119,39.552
2010-12-11,Mettur,263.431,48.522
2010-12-12,Mettur,286.9,57.492
2010-12-13,Mettur,229.594,66.462
2010-12-14,Mettur,324.522,75.432
2010-12-15,Mettur,183.601,84.402
2010-12-16,Mettur,183.665,93.372
2010-12-17,Mettur,326.2,93.319
2010-12-18,Mettur,235.728,93.266
2010-12-19,Mettur,240.3,93.213
2010-12-20,Mettur,264.411,93.16
2010-12-21,Mettur,218.187,93.107
2010-12-22,Mettur,253.289,93.054
2010-12-23,Mettur,239.334,93.001
2010-12-24,Mettur,192.582,92.948
2010-12-25,Mettur,194.6,92.895
2010-12-26,Mettur,209.4,92.842
2010-12-27,Mettur,165.585,92.789
2010-12-28,Mettur,162.535,92.736
2010-12-29,Mettur,301.855,92.683
2010-12-30,Mettur,238.556,92.63
2010-12-31,Mettur,250.452,92.577
2011-01-01,Mettur,246.464,92.524
2011-01-02,Mettur,253.3,84.402
2011-01-03,Mettur,238.556,76.28
2011-01-04,Mettur,224.393,75.573
2011-01-05,Mettur,230.751,80.871
2011-01-06,Mettur,178.104,86.521
2011-01-07,Mettur,176.003,80.164
2011-01-08,Mettur,179.449,73.808
2011-01-09,Mettur,237.1,67.451
2011-01-10,Mettur,296.712,61.095
2011-01-11,Mettur,323.91,54.738
2011-01-12,Mettur,351.017,61.707
2011-01-13,Mettur,374.304,68.675
2011-01-14,Mettur,367.861,75.644
2011-01-15,Mettur,375.5,76.562
2011-01-16,Mettur,367.7,77.48
2011-01-17,Mettur,369.114,78.399
2011-01-18,Mettur,355.648,79.317
2011-01-19,Mettur,354.367,80.235
2011-01-20,Mettur,363.49,81.153
2011-01-21,Mettur,358.561,82.071
2011-01-22,Mettur,301.023,82.989
2011-01-23,Mettur,329.9,83.908
2011-01-24,Mettur,289.261,84.826
2011-01-25,Mettur,218.543,85.744
2011-01-26,Mettur,221.5,86.662
2011-01-27,Mettur,214.636,87.58
2011-01-28,Mettur,226.442,88.499
2011-01-29,Mettur,237.298,89.417
2011-01-30,Mettur,78.54,90.335
2011-01-31,Mettur,29.483,91.253
2011-02-01,Mettur,29.71,92.171
2011-02-02,Mettur,26.39,84.226
2011-02-03,Mettur,53.669,76.28
2011-02-04,Mettur,98.296,75.573
2011-02-05,Mettur,91.837,81.224
2011-02-06,Mettur,82.42,86.521
2011-02-07,Mettur,121.853,80.376
2011-02-08,Mettur,105.782,74.231
2011-02-09,Mettur,121.221,68.087
2011-02-10,Mettur,104.541,61.942
2011-02-11,Mettur,97.737,55.797
2011-02-12,Mettur,112.441,62.922
2011-02-13,Mettur,121.2,70.048
2011-02-14,Mettur,131.131,77.173
2011-02-15,Mettur,129.124,78.149
2011-02-16,Mettur,144.3,79.126
2011-02-17,Mettur,138.39,80.102
2011-02-18,Mettur,138.102,81.078
2011-02-19,Mettur,141.578,82.055
2011-02-20,Mettur,143.0,83.031
2011-02-21,Mettur,120.464,84.007
2011-02-22,Mettur,139.079,84.984
2011-02-23,Mettur,114.645,85.96
2011-02-24,Mettur,142.11,86.936
2011-02-25,Mettur,106.691,87.913
2011-02-26,Mettur,138.58,88.889
2011-02-27,Mettur,138.0,89.865
2011-02-28,Mettur,137.068,90.842
2011-03-01,Mettur,135.372,91.818
2011-03-02,Mettur,136.399,84.049
2011-03-03,Mettur,136.21,76.28
2011-03-04,Mettur,134.936,75.573
2011-03-05,Mettur,134.306,81.224
2011-03-06,Mettur,135.6,86.874
2011-03-07,Mettur,134.664,80.871
2011-03-08,Mettur,130.82,74.867
2011-03-09,Mettur,140.21,68.864
2011-03-10,Mettur,141.393,62.86
2011-03-11,Mettur,138.622,56.857
2011-03-12,Mettur,137.569,63.743
2011-03-13,Mettur,133.1,70.63
2011-03-14,Mettur,137.644,77.516
2011-03-15,Mettur,136.103,78.31
2011-03-16,Mettur,137.803,79.105
2011-03-17,Mettur,139.381,79.899
2011-03-18,Mettur,137.351,80.694
2011-03-19,Mettur,135.162,81.489
2011-03-20,Mettur,133.1,82.283
2011-03-21,Mettur,135.534,83.078
2011-03-22,Mettur,109.46,83.872
2011-03-23,Mettur,108.031,84.667
2011-03-24,Mettur,108.487,85.461
2011-03-25,Mettur,110.491,86.256
2011-03-26,Mettur,102.937,87.051
2011-03-27,Mettur,109.7,87.845
2011-03-28,Mettur,134.837,88.64
2011-03-29,Mettur,133.767,89.434
2011-03-30,Mettur,112.124,90.229
2011-03-31,Mettur,106.994,91.024
2011-04-01,Mettur,108.93,91.818
2011-04-02,Mettur,108.064,84.049
2011-04-03,Mettur,105.3,76.28
2011-04-04,Mettur,104.402,75.573
2011-04-05,Mettur,104.443,81.577
2011-04-06,Mettur,82.997,86.874
2011-04-07,Mettur,84.158,80.544
2011-04-08,Mettur,88.641,74.215
2011-04-09,Mettur,102.712,67.885
2011-04-10,Mettur,96.68,61.555
2011-04-11,Mettur,102.145,55.226
2011-04-12,Mettur,101.322,62.776
2011-04-13,Mettur,96.68,70.327
2011-04-14,Mettur,88.41,77.878
2011-04-15,Mettur,84.521,78.677
2011-04-16,Mettur,80.47,79.477
2011-04-17,Mettur,82.42,80.276
2011-04-18,Mettur,109.32,81.075
2011-04-19,Mettur,117.307,81.874
2011-04-20,Mettur,116.582,82.673
2011-04-21,Mettur,132.43,83.473
2011-04-22,Mettur,114.2,84.272
2011-04-23,Mettur,159.534,85.071
2011-04-24,Mettur,206.4,85.87
2011-04-25,Mettur,158.874,86.67
2011-04-26,Mettur,134.814,87.469
2011-04-27,Mettur,101.291,88.268
2011-04-28,Mettur,109.221,89.067
2011-04-29,Mettur,38.328,89.867
2011-04-30,Mettur,35.126,90.666
2011-05-01,Mettur,49.01,91.465
2011-05-02,Mettur,84.741,83.872
2011-05-03,Mettur,73.916,76.28
2011-05-04,Mettur,105.359,75.573
2011-05-05,Mettur,104.366,81.577
2011-05-06,Mettur,101.489,87.227
2011-05-07,Mettur,89.075,80.853
2011-05-08,Mettur,76.63,74.479
2011-05-09,Mettur,98.076,68.104
2011-05-10,Mettur,38.433,61.73
2011-05-11,Mettur,39.737,55.356
2011-05-12,Mettur,37.218,63.037
2011-05-13,Mettur,37.513,70.718
2011-05-14,Mettur,87.419,78.399
2011-05-15,Mettur,84.39,79.105
2011-05-16,Mettur,98.056,79.811
2011-05-17,Mettur,80.47,80.517
2011-05-18,Mettur,88.093,81.224
2011-05-19,Mettur,108.474,81.93
2011-05-20,Mettur,101.631,82.636
2011-05-21,Mettur,110.382,83.343
2011-05-22,Mettur,103.1,84.049
2011-05-23,Mettur,107.95,84.755
2011-05-24,Mettur,106.715,85.461
2011-05-25,Mettur,112.92,86.168
2011-05-26,Mettur,158.801,86.874
2011-05-27,Mettur,157.156,87.58
2011-05-28,Mettur,133.803,88.287
2011-05-29,Mettur,107.5,88.993
2011-05-30,Mettur,102.068,89.699
2011-05-31,Mettur,106.959,90.406
2011-06-01,Mettur,102.613,91.112
2011-06-02,Mettur,106.72,83.696
2011-06-03,Mettur,132.261,76.28
2011-06-04,Mettur,141.153,75.573
2011-06-05,Mettur,101.8,81.93
2011-06-06,Mettur,105.215,87.227
2011-06-07,Mettur,398.424,86.172
2011-06-08,Mettur,386.368,85.118
2011-06-09,Mettur,391.214,84.063
2011-06-10,Mettur,384.631,83.008
2011-06-11,Mettur,402.569,81.953
2011-06-12,Mettur,150.1,80.898
