Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Sardar Sarovar,20.749,50.853
2010-01-02,Sardar Sarovar,20.861,51.559
2010-01-03,Sardar Sarovar,11.897,49.794
2010-01-04,Sardar Sarovar,18.22,45.556
2010-01-05,Sardar Sarovar,23.714,36.727
2010-01-06,Sardar Sarovar,173.599,25.073
2010-01-07,Sardar Sarovar,323.483,13.773
2010-01-08,Sardar Sarovar,473.368,24.014
2010-01-09,Sardar Sarovar,457.952,44.85
2010-01-10,Sardar Sarovar,473.368,49.087
2010-01-11,Sardar Sarovar,466.99,51.913
2010-01-12,Sardar Sarovar,245.22,50.853
2010-01-13,Sardar Sarovar,23.451,50.835
2010-01-14,Sardar Sarovar,20.966,50.818
2010-01-15,Sardar Sarovar,24.654,50.8
2010-01-16,Sardar Sarovar,492.383,50.782
2010-01-17,Sardar Sarovar,142.309,50.765
2010-01-18,Sardar Sarovar,26.471,50.747
2010-01-19,Sardar Sarovar,189.09,50.73
2010-01-20,Sardar Sarovar,205.068,50.712
2010-01-21,Sardar Sarovar,447.928,50.694
2010-01-22,Sardar Sarovar,441.733,50.677
2010-01-23,Sardar Sarovar,461.226,50.659
2010-01-24,Sardar Sarovar,480.72,50.641
2010-01-25,Sardar Sarovar,24.017,50.624
2010-01-26,Sardar Sarovar,29.767,50.606
2010-01-27,Sardar Sarovar,22.124,50.588
2010-01-28,Sardar Sarovar,127.023,50.571
2010-01-29,Sardar Sarovar,231.922,50.553
2010-01-30,Sardar Sarovar,202.58,50.535
2010-01-31,Sardar Sarovar,193.273,50.518
2010-02-01,Sardar Sarovar,24.263,50.5
2010-02-02,Sardar Sarovar,23.146,51.559
2010-02-03,Sardar Sarovar,24.338,50.147
2010-02-04,Sardar Sarovar,23.013,45.556
2010-02-05,Sardar Sarovar,21.975,36.727
2010-02-06,Sardar Sarovar,23.361,24.367
2010-02-07,Sardar Sarovar,22.049,13.773
2010-02-08,Sardar Sarovar,21.024,24.367
2010-02-09,Sardar Sarovar,20.583,44.143
2010-02-10,Sardar Sarovar,21.092,49.087
2010-02-11,Sardar Sarovar,21.62,51.913
2010-02-12,Sardar Sarovar,20.895,50.147
2010-02-13,Sardar Sarovar,22.823,50.147
2010-02-14,Sardar Sarovar,26.962,50.147
2010-02-15,Sardar Sarovar,21.323,50.147
2010-02-16,Sardar Sarovar,20.775,50.147
2010-02-17,Sardar Sarovar,20.986,50.147
2010-02-18,Sardar Sarovar,19.355,50.147
2010-02-19,Sardar Sarovar,20.241,50.147
2010-02-20,Sardar Sarovar,21.128,50.147
2010-02-21,Sardar Sarovar,23.19,50.147
2010-02-22,Sardar Sarovar,20.753,50.147
2010-02-23,Sardar Sarovar,20.711,50.147
2010-02-24,Sardar Sarovar,21.66,50.147
2010-02-25,Sardar Sarovar,21.281,50.147
2010-02-26,Sardar Sarovar,21.536,50.147
2010-02-27,Sardar Sarovar,36.073,50.147
2010-02-28,Sardar Sarovar,45.263,50.147
2010-03-01,Sardar Sarovar,43.309,50.147
2010-03-02,Sardar Sarovar,23.8,52.266
2010-03-03,Sardar Sarovar,23.437,49.441
2010-03-04,Sardar Sarovar,23.075,45.909
2010-03-05,Sardar Sarovar,22.307,36.021
2010-03-06,Sardar Sarovar,21.263,24.014
2010-03-07,Sardar Sarovar,31.257,15.892
2010-03-08,Sardar Sarovar,19.885,24.72
2010-03-09,Sardar Sarovar,21.644,43.437
2010-03-10,Sardar Sarovar,20.991,49.087
2010-03-11,Sardar Sarovar,21.259,52.266
2010-03-12,Sardar Sarovar,22.936,49.441
2010-03-13,Sardar Sarovar,26.351,49.458
2010-03-14,Sardar Sarovar,29.767,49.476
2010-03-15,Sardar Sarovar,19.357,49.494
2010-03-16,Sardar Sarovar,23.24,49.511
2010-03-17,Sardar Sarovar,22.451,49.529
2010-03-18,Sardar Sarovar,21.161,49.546
2010-03-19,Sardar Sarovar,23.975,49.564
2010-03-20,Sardar Sarovar,19.151,49.582
2010-03-21,Sardar Sarovar,26.962,49.599
2010-03-22,Sardar Sarovar,21.762,49.617
2010-03-23,Sardar Sarovar,19.081,49.635
2010-03-24,Sardar Sarovar,19.0,49.652
2010-03-25,Sardar Sarovar,21.472,49.67
2010-03-26,Sardar Sarovar,22.179,49.688
2010-03-27,Sardar Sarovar,19.124,49.705
2010-03-28,Sardar Sarovar,28.336,49.723
2010-03-29,Sardar Sarovar,18.927,49.741
2010-03-30,Sardar Sarovar,20.735,49.758
2010-03-31,Sardar Sarovar,21.86,49.776
