Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Srisailam,142.043,232.22
2010-01-02,Srisailam,118.758,232.22
2010-01-03,Srisailam,104.6,231.787
2010-01-04,Srisailam,99.707,231.353
2010-01-05,Srisailam,88.508,230.919
2010-01-06,Srisailam,83.317,230.052
2010-01-07,Srisailam,80.614,229.184
2010-01-08,Srisailam,84.383,228.344
2010-01-09,Srisailam,91.026,227.502
2010-01-10,Srisailam,94.792,225.4
2010-01-11,Srisailam,88.231,222.457
2010-01-12,Srisailam,95.983,220.775
2010-01-13,Srisailam,109.068,218.336
2010-01-14,Srisailam,117.148,219.211
2010-01-15,Srisailam,124.127,219.211
2010-01-16,Srisailam,128.383,219.211
2010-01-17,Srisailam,106.634,217.929
2010-01-18,Srisailam,83.397,217.116
2010-01-19,Srisailam,85.729,216.303
2010-01-20,Srisailam,91.026,215.489
2010-01-21,Srisailam,92.898,214.676
2010-01-22,Srisailam,87.594,213.863
2010-01-23,Srisailam,86.699,222.457
2010-01-24,Srisailam,91.026,227.082
2010-01-25,Srisailam,86.069,225.4
2010-01-26,Srisailam,89.183,223.718
2010-01-27,Srisailam,87.646,222.457
2010-01-28,Srisailam,94.792,221.196
2010-01-29,Srisailam,94.792,220.369
2010-01-30,Srisailam,91.026,218.336
2010-01-31,Srisailam,91.026,217.116
2010-02-01,Srisailam,87.357,199.845
2010-02-02,Srisailam,87.357,198.327
2010-02-03,Srisailam,87.357,196.822
2010-02-04,Srisailam,91.026,194.993
2010-02-05,Srisailam,89.183,192.8
2010-02-06,Srisailam,87.357,190.971
2010-02-07,Srisailam,87.357,189.173
2010-02-08,Srisailam,91.599,186.716
2010-02-09,Srisailam,87.357,185.313
2010-02-10,Srisailam,87.357,183.558
2010-02-11,Srisailam,87.357,181.847
2010-02-12,Srisailam,89.183,180.165
2010-02-13,Srisailam,91.026,177.81
2010-02-14,Srisailam,91.026,175.484
2010-02-15,Srisailam,78.274,173.873
2010-02-16,Srisailam,76.885,172.261
2010-02-17,Srisailam,80.285,170.328
2010-02-18,Srisailam,76.885,167.202
2010-02-19,Srisailam,87.357,162.881
2010-02-20,Srisailam,91.026,159.883
2010-02-21,Srisailam,91.026,157.484
2010-02-22,Srisailam,99.296,155.745
2010-02-23,Srisailam,94.792,153.137
2010-02-24,Srisailam,94.792,151.408
2010-02-25,Srisailam,91.026,149.167
2010-02-26,Srisailam,91.026,146.927
2010-02-27,Srisailam,94.792,143.395
2010-02-28,Srisailam,91.026,142.318
2010-03-01,Srisailam,92.366,140.973
2010-03-02,Srisailam,89.183,137.606
2010-03-03,Srisailam,89.183,135.54
2010-03-04,Srisailam,78.576,133.068
2010-03-05,Srisailam,67.206,130.843
2010-03-06,Srisailam,67.206,128.94
2010-03-07,Srisailam,61.183,127.521
2010-03-08,Srisailam,74.365,125.865
2010-03-09,Srisailam,60.454,120.494
2010-03-10,Srisailam,80.859,117.489
2010-03-11,Srisailam,80.859,115.837
2010-03-12,Srisailam,95.581,113.798
2010-03-13,Srisailam,95.581,112.789
2010-03-14,Srisailam,101.923,111.629
2010-03-15,Srisailam,108.516,110.275
2010-03-16,Srisailam,111.918,109.501
2010-03-17,Srisailam,105.182,108.01
2010-03-18,Srisailam,89.502,106.906
2010-03-19,Srisailam,101.59,105.082
2010-03-20,Srisailam,102.041,102.972
2010-03-21,Srisailam,105.182,100.743
2010-03-22,Srisailam,97.321,99.737
