Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Tungabhadra,7.391,68.51
2010-01-02,Tungabhadra,6.909,55.727
2010-01-03,Tungabhadra,22.682,42.943
2010-01-04,Tungabhadra,13.082,30.159
2010-01-05,Tungabhadra,86.423,17.375
2010-01-06,Tungabhadra,79.061,4.591
2010-01-07,Tungabhadra,40.521,12.713
2010-01-08,Tungabhadra,12.091,25.305
2010-01-09,Tungabhadra,19.114,37.898
2010-01-10,Tungabhadra,33.357,50.49
2010-01-11,Tungabhadra,33.725,63.082
2010-01-12,Tungabhadra,32.706,75.674
2010-01-13,Tungabhadra,7.985,88.266
2010-01-14,Tungabhadra,1.982,100.859
2010-01-15,Tungabhadra,25.74,99.022
2010-01-16,Tungabhadra,15.206,97.186
2010-01-17,Tungabhadra,14.895,95.35
2010-01-18,Tungabhadra,15.815,93.513
2010-01-19,Tungabhadra,16.735,91.677
2010-01-20,Tungabhadra,40.465,89.841
2010-01-21,Tungabhadra,86.027,88.004
2010-01-22,Tungabhadra,106.585,86.168
2010-01-23,Tungabhadra,68.697,84.331
2010-01-24,Tungabhadra,63.515,82.495
2010-01-25,Tungabhadra,58.701,80.659
2010-01-26,Tungabhadra,50.517,78.822
2010-01-27,Tungabhadra,41.767,76.986
2010-01-28,Tungabhadra,34.348,75.15
2010-01-29,Tungabhadra,35.849,73.313
2010-01-30,Tungabhadra,35.254,71.477
2010-01-31,Tungabhadra,34.66,69.641
2010-02-01,Tungabhadra,34.886,67.804
2010-02-02,Tungabhadra,35.991,55.162
2010-02-03,Tungabhadra,36.047,42.519
2010-02-04,Tungabhadra,36.5,29.876
2010-02-05,Tungabhadra,37.576,17.234
2010-02-06,Tungabhadra,37.237,4.591
2010-02-07,Tungabhadra,43.466,13.42
2010-02-08,Tungabhadra,37.775,25.812
2010-02-09,Tungabhadra,37.86,38.205
2010-02-10,Tungabhadra,35.509,50.598
2010-02-11,Tungabhadra,36.699,62.991
2010-02-12,Tungabhadra,35.962,75.383
2010-02-13,Tungabhadra,39.729,87.776
2010-02-14,Tungabhadra,42.9,100.169
2010-02-15,Tungabhadra,42.985,97.988
2010-02-16,Tungabhadra,43.438,95.807
2010-02-17,Tungabhadra,34.207,93.625
2010-02-18,Tungabhadra,35.141,91.444
2010-02-19,Tungabhadra,36.076,89.263
2010-02-20,Tungabhadra,29.931,87.082
2010-02-21,Tungabhadra,33.386,84.901
2010-02-22,Tungabhadra,39.219,82.719
2010-02-23,Tungabhadra,35.934,80.538
2010-02-24,Tungabhadra,37.293,78.357
2010-02-25,Tungabhadra,35.056,76.176
2010-02-26,Tungabhadra,32.253,73.995
2010-02-27,Tungabhadra,29.138,71.813
2010-02-28,Tungabhadra,28.515,69.632
2010-03-01,Tungabhadra,28.657,67.451
2010-03-02,Tungabhadra,25.853,54.879
2010-03-03,Tungabhadra,24.806,42.307
2010-03-04,Tungabhadra,24.239,29.735
2010-03-05,Tungabhadra,26.165,17.163
2010-03-06,Tungabhadra,31.092,4.591
2010-03-07,Tungabhadra,33.046,14.126
2010-03-08,Tungabhadra,30.695,26.501
2010-03-09,Tungabhadra,34.292,38.876
2010-03-10,Tungabhadra,29.704,51.252
2010-03-11,Tungabhadra,33.046,63.627
2010-03-12,Tungabhadra,38.483,76.002
2010-03-13,Tungabhadra,41.824,88.377
2010-03-14,Tungabhadra,36.699,100.753
2010-03-15,Tungabhadra,0.0,98.863
