Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Ujjani,0.0,53.678
2010-01-02,Ujjani,0.0,53.678
2010-01-03,Ujjani,0.0,53.678
2010-01-04,Ujjani,0.0,53.678
2010-01-05,Ujjani,0.0,53.678
2010-01-06,Ujjani,0.0,53.678
2010-01-07,Ujjani,0.0,53.678
2010-01-08,Ujjani,0.0,53.678
2010-01-09,Ujjani,0.0,53.678
2010-01-10,Ujjani,0.0,53.678
2010-01-11,Ujjani,0.0,53.678
2010-01-12,Ujjani,0.0,53.678
2010-01-13,Ujjani,0.0,53.678
2010-01-14,Ujjani,0.0,53.678
2010-01-15,Ujjani,0.0,53.678
2010-01-16,Ujjani,0.0,53.678
2010-01-17,Ujjani,0.0,53.678
2010-01-18,Ujjani,0.0,53.678
2010-01-19,Ujjani,0.0,53.678
2010-01-20,Ujjani,0.0,53.678
2010-01-21,Ujjani,0.0,53.678
2010-01-22,Ujjani,0.0,53.678
2010-01-23,Ujjani,0.0,53.678
2010-01-24,Ujjani,0.0,53.678
2010-01-25,Ujjani,0.0,53.678
2010-01-26,Ujjani,0.0,53.678
2010-01-27,Ujjani,0.0,53.678
2010-01-28,Ujjani,0.0,53.678
2010-01-29,Ujjani,0.0,53.678
2010-01-30,Ujjani,0.0,53.678
2010-01-31,Ujjani,0.0,53.678
2010-02-01,Ujjani,0.0,53.678
2010-02-02,Ujjani,0.0,53.678
2010-02-03,Ujjani,0.0,53.678
2010-02-04,Ujjani,0.0,53.678
2010-02-05,Ujjani,0.0,53.678
2010-02-06,Ujjani,0.0,53.678
2010-02-07,Ujjani,0.0,53.678
2010-02-08,Ujjani,0.0,53.678
2010-02-09,Ujjani,0.0,53.678
2010-02-10,Ujjani,0.0,53.678
2010-02-11,Ujjani,0.0,53.678
2010-02-12,Ujjani,0.0,53.678
2010-02-13,Ujjani,0.0,53.678
2010-02-14,Ujjani,0.0,53.678
2010-02-15,Ujjani,0.0,53.678
2010-02-16,Ujjani,0.0,53.678
2010-02-17,Ujjani,0.0,53.678
2010-02-18,Ujjani,0.0,53.678
2010-02-19,Ujjani,0.0,53.678
2010-02-20,Ujjani,0.0,53.678
2010-02-21,Ujjani,0.0,53.678
2010-02-22,Ujjani,0.0,53.678
2010-02-23,Ujjani,0.0,53.678
2010-02-24,Ujjani,0.0,53.678
2010-02-25,Ujjani,0.0,53.678
2010-02-26,Ujjani,0.0,53.678
2010-02-27,Ujjani,0.0,53.678
2010-02-28,Ujjani,0.0,53.678
2010-03-01,Ujjani,0.0,53.678
2010-03-02,Ujjani,0.0,53.678
2010-03-03,Ujjani,0.0,53.678
2010-03-04,Ujjani,0.0,53.678
2010-03-05,Ujjani,0.0,53.678
2010-03-06,Ujjani,0.0,53.678
2010-03-07,Ujjani,0.0,53.678
2010-03-08,Ujjani,0.0,53.678
2010-03-09,Ujjani,0.0,53.678
2010-03-10,Ujjani,0.0,53.678
2010-03-11,Ujjani,0.0,53.678
2010-03-12,Ujjani,0.0,53.678
2010-03-13,Ujjani,0.0,53.678
2010-03-14,Ujjani,0.0,53.678
2010-03-15,Ujjani,0.0,53.678
2010-03-16,Ujjani,0.0,53.678
2010-03-17,Ujjani,0.0,53.678
2010-03-18,Ujjani,0.0,53.678
2010-03-19,Ujjani,0.0,53.678
2010-03-20,Ujjani,0.0,53.678
2010-03-21,Ujjani,0.0,53.678
2010-03-22,Ujjani,0.0,53.678
2010-03-23,Ujjani,0.0,53.678
2010-03-24,Ujjani,0.0,53.678
2010-03-25,Ujjani,0.0,53.678
2010-03-26,Ujjani,0.0,53.678
2010-03-27,Ujjani,0.0,53.678
2010-03-28,Ujjani,0.0,53.678
2010-03-29,Ujjani,0.0,53.678
2010-03-30,Ujjani,0.0,53.678
2010-03-31,Ujjani,0.0,53.678
2010-04-01,Ujjani,0.0,53.678
2010-04-02,Ujjani,0.0,53.678
2010-04-03,Ujjani,0.0,53.678
2010-04-04,Ujjani,0.0,53.678
2010-04-05,Ujjani,0.0,53.678
2010-04-06,Ujjani,0.0,53.678
2010-04-07,Ujjani,0.0,53.678
2010-04-08,Ujjani,0.0,53.678
2010-04-09,Ujjani,0.0,53.678
2010-04-10,Ujjani,0.0,53.678
2010-04-11,Ujjani,0.0,53.678
