Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Ukai,3.648,103.119
2010-01-02,Ukai,2.276,92.524
2010-01-03,Ukai,3.986,75.22
2010-01-04,Ukai,2.518,61.094
2010-01-05,Ukai,2.489,47.322
2010-01-06,Ukai,2.075,24.72
2010-01-07,Ukai,2.08,21.895
2010-01-08,Ukai,2.722,44.834
2010-01-09,Ukai,3.294,67.774
2010-01-10,Ukai,3.332,90.713
2010-01-11,Ukai,3.942,113.653
2010-01-12,Ukai,3.896,136.592
2010-01-13,Ukai,3.948,159.532
2010-01-14,Ukai,3.028,182.471
2010-01-15,Ukai,3.952,178.004
2010-01-16,Ukai,3.82,173.536
2010-01-17,Ukai,2.74,169.069
2010-01-18,Ukai,3.63,164.602
2010-01-19,Ukai,4.0,160.134
2010-01-20,Ukai,3.483,155.667
2010-01-21,Ukai,3.323,151.2
2010-01-22,Ukai,3.436,146.732
2010-01-23,Ukai,2.976,142.265
2010-01-24,Ukai,2.467,137.798
2010-01-25,Ukai,3.451,133.331
2010-01-26,Ukai,3.332,128.863
2010-01-27,Ukai,2.999,124.396
2010-01-28,Ukai,3.543,119.929
2010-01-29,Ukai,2.986,115.461
2010-01-30,Ukai,3.478,110.994
2010-01-31,Ukai,4.481,106.527
2010-02-01,Ukai,5.483,102.059
2010-02-02,Ukai,6.486,92.171
2010-02-03,Ukai,7.489,74.867
2010-02-04,Ukai,8.492,60.388
2010-02-05,Ukai,9.495,46.262
2010-02-06,Ukai,10.498,24.72
2010-02-07,Ukai,11.5,21.542
2010-02-08,Ukai,12.26,44.256
2010-02-09,Ukai,13.02,66.97
2010-02-10,Ukai,13.78,89.684
2010-02-11,Ukai,14.54,112.399
2010-02-12,Ukai,15.3,135.113
2010-02-13,Ukai,16.06,157.827
2010-02-14,Ukai,16.819,180.541
2010-02-15,Ukai,17.608,175.285
2010-02-16,Ukai,18.397,170.03
2010-02-17,Ukai,19.185,164.774
2010-02-18,Ukai,19.974,159.518
2010-02-19,Ukai,20.762,154.263
2010-02-20,Ukai,21.551,149.007
2010-02-21,Ukai,22.34,143.751
2010-02-22,Ukai,21.42,138.496
2010-02-23,Ukai,20.5,133.24
