Date,Reservoir_Name,Inflow (cusecs/cumecs),Storage (TMC/MCM)
2010-01-01,Jayakwadi,0.0,16.245
2010-01-02,Jayakwadi,0.0,10.594
2010-01-03,Jayakwadi,0.0,8.122
2010-01-04,Jayakwadi,0.0,5.297
2010-01-05,Jayakwadi,0.0,2.472
2010-01-06,Jayakwadi,0.0,0.706
2010-01-07,Jayakwadi,0.0,0.706
2010-01-08,Jayakwadi,0.0,7.416
2010-01-09,Jayakwadi,0.0,15.821
2010-01-10,Jayakwadi,0.0,24.226
2010-01-11,Jayakwadi,0.0,32.631
2010-01-12,Jayakwadi,0.0,41.036
2010-01-13,Jayakwadi,0.0,49.441
2010-01-14,Jayakwadi,0.0,47.675
2010-01-15,Jayakwadi,0.0,45.909
2010-01-16,Jayakwadi,0.0,44.143
2010-01-17,Jayakwadi,0.0,42.378
2010-01-18,Jayakwadi,0.0,40.612
2010-01-19,Jayakwadi,0.0,38.846
2010-01-20,Jayakwadi,0.0,37.08
2010-01-21,Jayakwadi,0.0,35.315
2010-01-22,Jayakwadi,0.0,33.549
2010-01-23,Jayakwadi,0.0,31.783
2010-01-24,Jayakwadi,0.0,30.017
2010-01-25,Jayakwadi,0.0,28.252
2010-01-26,Jayakwadi,0.0,26.486
2010-01-27,Jayakwadi,0.0,24.72
2010-01-28,Jayakwadi,0.0,22.955
2010-01-29,Jayakwadi,0.0,21.189
2010-01-30,Jayakwadi,0.0,19.423
2010-01-31,Jayakwadi,0.0,17.657
2010-02-01,Jayakwadi,0.0,15.892
2010-02-02,Jayakwadi,0.0,10.594
2010-02-03,Jayakwadi,0.0,8.122
2010-02-04,Jayakwadi,0.0,5.297
2010-02-05,Jayakwadi,0.0,2.472
2010-02-06,Jayakwadi,0.0,0.706
2010-02-07,Jayakwadi,0.0,1.059
2010-02-08,Jayakwadi,0.0,7.769
2010-02-09,Jayakwadi,0.0,16.107
2010-02-10,Jayakwadi,0.0,24.446
2010-02-11,Jayakwadi,0.0,32.784
2010-02-12,Jayakwadi,0.0,41.123
2010-02-13,Jayakwadi,0.0,49.461
2010-02-14,Jayakwadi,0.0,47.363
2010-02-15,Jayakwadi,0.0,45.265
2010-02-16,Jayakwadi,0.0,43.167
2010-02-17,Jayakwadi,0.0,41.069
2010-02-18,Jayakwadi,0.0,38.971
2010-02-19,Jayakwadi,0.0,36.873
2010-02-20,Jayakwadi,0.0,34.775
2010-02-21,Jayakwadi,0.0,32.676
2010-02-22,Jayakwadi,0.0,30.578
2010-02-23,Jayakwadi,0.0,28.48
2010-02-24,Jayakwadi,0.0,26.382
2010-02-25,Jayakwadi,0.0,24.284
2010-02-26,Jayakwadi,0.0,22.186
2010-02-27,Jayakwadi,0.0,20.088
2010-02-28,Jayakwadi,0.0,17.99
2010-03-01,Jayakwadi,0.0,15.892
2010-03-02,Jayakwadi,0.0,10.594
2010-03-03,Jayakwadi,0.0,7.769
2010-03-04,Jayakwadi,0.0,5.297
2010-03-05,Jayakwadi,0.0,2.472
2010-03-06,Jayakwadi,0.0,0.353
2010-03-07,Jayakwadi,0.0,2.472
2010-03-08,Jayakwadi,0.0,8.829
2010-03-09,Jayakwadi,0.0,17.082
2010-03-10,Jayakwadi,0.0,25.335
2010-03-11,Jayakwadi,0.0,33.588
2010-03-12,Jayakwadi,0.0,41.841
2010-03-13,Jayakwadi,0.0,50.094
2010-03-14,Jayakwadi,0.0,48.275
2010-03-15,Jayakwadi,0.0,46.456
2010-03-16,Jayakwadi,0.0,44.638
2010-03-17,Jayakwadi,0.0,42.819
2010-03-18,Jayakwadi,0.0,41.0
2010-03-19,Jayakwadi,0.0,39.182
2010-03-20,Jayakwadi,0.0,37.363
2010-03-21,Jayakwadi,0.0,35.544
2010-03-22,Jayakwadi,0.0,33.726
2010-03-23,Jayakwadi,0.0,31.907
2010-03-24,Jayakwadi,0.0,30.088
2010-03-25,Jayakwadi,0.0,28.269
2010-03-26,Jayakwadi,0.0,26.451
2010-03-27,Jayakwadi,0.0,24.632
2010-03-28,Jayakwadi,0.0,22.813
2010-03-29,Jayakwadi,0.0,20.995
2010-03-30,Jayakwadi,0.0,19.176
2010-03-31,Jayakwadi,0.0,17.357
2010-04-01,Jayakwadi,0.0,15.538
2010-04-02,Jayakwadi,0.0,10.594
2010-04-03,Jayakwadi,0.0,7.769
2010-04-04,Jayakwadi,0.0,5.297
2010-04-05,Jayakwadi,0.0,2.472
2010-04-06,Jayakwadi,0.0,0.353
2010-04-07,Jayakwadi,0.0,2.825
2010-04-08,Jayakwadi,0.0,9.888
2010-04-09,Jayakwadi,0.0,17.91
2010-04-10,Jayakwadi,0.0,25.932
2010-04-11,Jayakwadi,0.0,33.954
2010-04-12,Jayakwadi,0.0,41.976
2010-04-13,Jayakwadi,0.0,49.998
2010-04-14,Jayakwadi,0.0,48.084
2010-04-15,Jayakwadi,0.0,46.169
2010-04-16,Jayakwadi,0.0,44.255
2010-04-17,Jayakwadi,0.0,42.34
2010-04-18,Jayakwadi,0.0,40.426
2010-04-19,Jayakwadi,0.0,38.512
2010-04-20,Jayakwadi,0.0,36.597
2010-04-21,Jayakwadi,0.0,34.683
2010-04-22,Jayakwadi,0.0,32.768
2010-04-23,Jayakwadi,0.0,30.854
2010-04-24,Jayakwadi,0.0,28.939
2010-04-25,Jayakwadi,0.0,27.025
2010-04-26,Jayakwadi,0.0,25.111
2010-04-27,Jayakwadi,0.0,23.196
2010-04-28,Jayakwadi,0.0,21.282
2010-04-29,Jayakwadi,0.0,19.367
2010-04-30,Jayakwadi,0.0,17.453
2010-05-01,Jayakwadi,0.0,15.538
2010-05-02,Jayakwadi,0.0,10.241
2010-05-03,Jayakwadi,0.0,7.416
2010-05-04,Jayakwadi,0.0,5.297
2010-05-05,Jayakwadi,0.0,2.472
2010-05-06,Jayakwadi,0.0,0.353
2010-05-07,Jayakwadi,0.0,3.178
2010-05-08,Jayakwadi,0.0,9.888
2010-05-09,Jayakwadi,0.0,17.926
2010-05-10,Jayakwadi,0.0,25.963
2010-05-11,Jayakwadi,0.0,34.001
2010-05-12,Jayakwadi,0.0,42.038
2010-05-13,Jayakwadi,0.0,50.076
2010-05-14,Jayakwadi,0.0,48.24
2010-05-15,Jayakwadi,0.0,46.403
2010-05-16,Jayakwadi,0.0,44.567
2010-05-17,Jayakwadi,0.0,42.731
2010-05-18,Jayakwadi,0.0,40.894
2010-05-19,Jayakwadi,0.0,39.058
2010-05-20,Jayakwadi,0.0,37.222
2010-05-21,Jayakwadi,0.0,35.385
2010-05-22,Jayakwadi,0.0,33.549
2010-05-23,Jayakwadi,0.0,31.713
2010-05-24,Jayakwadi,0.0,29.876
2010-05-25,Jayakwadi,0.0,28.04
2010-05-26,Jayakwadi,0.0,26.203
2010-05-27,Jayakwadi,0.0,24.367
2010-05-28,Jayakwadi,0.0,22.531
2010-05-29,Jayakwadi,0.0,20.694
2010-05-30,Jayakwadi,0.0,18.858
2010-05-31,Jayakwadi,0.0,17.022
2010-06-01,Jayakwadi,0.0,15.185
2010-06-02,Jayakwadi,0.0,10.241
2010-06-03,Jayakwadi,0.0,7.416
2010-06-04,Jayakwadi,0.0,4.944
2010-06-05,Jayakwadi,0.0,2.472
2010-06-06,Jayakwadi,0.0,0.353
2010-06-07,Jayakwadi,0.0,3.178
2010-06-08,Jayakwadi,0.0,13.066
2010-06-09,Jayakwadi,0.0,22.778
2010-06-10,Jayakwadi,0.0,32.49
2010-06-11,Jayakwadi,0.0,42.201
2010-06-12,Jayakwadi,0.0,51.913
2010-06-13,Jayakwadi,0.0,49.961
2010-06-14,Jayakwadi,0.0,48.009
2010-06-15,Jayakwadi,0.0,46.058
2010-06-16,Jayakwadi,0.0,44.106
2010-06-17,Jayakwadi,0.0,42.155
2010-06-18,Jayakwadi,0.0,40.203
2010-06-19,Jayakwadi,0.0,38.251
2010-06-20,Jayakwadi,0.0,36.3
2010-06-21,Jayakwadi,0.0,34.348
2010-06-22,Jayakwadi,0.0,32.397
2010-06-23,Jayakwadi,0.0,30.445
2010-06-24,Jayakwadi,0.0,28.493
2010-06-25,Jayakwadi,0.0,26.542
2010-06-26,Jayakwadi,0.0,24.59
2010-06-27,Jayakwadi,0.0,22.639
2010-06-28,Jayakwadi,0.0,20.687
2010-06-29,Jayakwadi,0.0,18.735
2010-06-30,Jayakwadi,0.0,16.784
2010-07-01,Jayakwadi,0.0,14.832
2010-07-02,Jayakwadi,0.0,10.241
2010-07-03,Jayakwadi,364.398,7.416
2010-07-04,Jayakwadi,744.3,4.944
2010-07-05,Jayakwadi,180.537,2.472
2010-07-06,Jayakwadi,55.172,0.353
2010-07-07,Jayakwadi,0.0,3.178
2010-07-08,Jayakwadi,0.0,12.925
2010-07-09,Jayakwadi,0.0,22.672
2010-07-10,Jayakwadi,0.0,32.419
2010-07-11,Jayakwadi,0.0,42.166
2010-07-12,Jayakwadi,0.0,51.913
2010-07-13,Jayakwadi,0.0,50.041
2010-07-14,Jayakwadi,0.0,48.169
2010-07-15,Jayakwadi,0.0,46.298
2010-07-16,Jayakwadi,0.0,44.426
2010-07-17,Jayakwadi,73.589,42.554
2010-07-18,Jayakwadi,0.0,40.682
2010-07-19,Jayakwadi,0.0,38.811
2010-07-20,Jayakwadi,0.0,36.939
2010-07-21,Jayakwadi,0.0,35.067
2010-07-22,Jayakwadi,0.0,33.196
2010-07-23,Jayakwadi,0.0,31.324
2010-07-24,Jayakwadi,0.0,29.452
2010-07-25,Jayakwadi,0.0,27.581
2010-07-26,Jayakwadi,0.0,25.709
2010-07-27,Jayakwadi,0.0,23.837
2010-07-28,Jayakwadi,0.0,21.966
2010-07-29,Jayakwadi,0.0,20.094
2010-07-30,Jayakwadi,0.0,18.222
2010-07-31,Jayakwadi,0.0,16.351
2010-08-01,Jayakwadi,0.0,14.479
2010-08-02,Jayakwadi,0.0,10.241
2010-08-03,Jayakwadi,0.0,7.063
2010-08-04,Jayakwadi,0.0,4.944
2010-08-05,Jayakwadi,0.0,2.472
2010-08-06,Jayakwadi,0.0,0.353
2010-08-07,Jayakwadi,0.0,3.178
2010-08-08,Jayakwadi,0.0,12.925
2010-08-09,Jayakwadi,0.0,22.672
2010-08-10,Jayakwadi,0.0,32.419
2010-08-11,Jayakwadi,0.0,42.166
2010-08-12,Jayakwadi,0.0,51.913
2010-08-13,Jayakwadi,110.363,50.041
2010-08-14,Jayakwadi,0.0,48.169
2010-08-15,Jayakwadi,0.0,46.298
2010-08-16,Jayakwadi,0.0,44.426
2010-08-17,Jayakwadi,0.0,42.554
2010-08-18,Jayakwadi,0.0,40.682
2010-08-19,Jayakwadi,0.0,38.811
2010-08-20,Jayakwadi,0.0,36.939
2010-08-21,Jayakwadi,0.0,35.067
2010-08-22,Jayakwadi,0.0,33.196
2010-08-23,Jayakwadi,0.0,31.324
2010-08-24,Jayakwadi,0.0,29.452
2010-08-25,Jayakwadi,0.0,27.581
2010-08-26,Jayakwadi,62.354,25.709
2010-08-27,Jayakwadi,0.0,23.837
2010-08-28,Jayakwadi,142.567,21.966
2010-08-29,Jayakwadi,67.63,20.094
2010-08-30,Jayakwadi,0.0,18.222
2010-08-31,Jayakwadi,350.774,16.351
2010-09-01,Jayakwadi,125.968,14.479
2010-09-02,Jayakwadi,180.359,9.888
2010-09-03,Jayakwadi,0.0,7.063
2010-09-04,Jayakwadi,0.0,4.944
2010-09-05,Jayakwadi,0.0,2.119
2010-09-06,Jayakwadi,0.0,0.353
2010-09-07,Jayakwadi,123.509,3.178
2010-09-08,Jayakwadi,0.0,12.925
2010-09-09,Jayakwadi,253.392,22.672
2010-09-10,Jayakwadi,115.761,32.419
2010-09-11,Jayakwadi,109.1,42.166
2010-09-12,Jayakwadi,0.0,51.913
2010-09-13,Jayakwadi,0.0,49.924
2010-09-14,Jayakwadi,0.0,47.935
2010-09-15,Jayakwadi,0.0,45.946
2010-09-16,Jayakwadi,325.181,43.957
2010-09-17,Jayakwadi,0.0,41.969
2010-09-18,Jayakwadi,149.743,39.98
2010-09-19,Jayakwadi,0.0,37.991
2010-09-20,Jayakwadi,0.0,36.002
2010-09-21,Jayakwadi,0.0,34.014
2010-09-22,Jayakwadi,100.557,32.025
2010-09-23,Jayakwadi,288.203,30.036
2010-09-24,Jayakwadi,0.0,28.047
2010-09-25,Jayakwadi,125.273,26.059
2010-09-26,Jayakwadi,134.3,24.07
2010-09-27,Jayakwadi,0.0,22.081
2010-09-28,Jayakwadi,0.0,20.092
2010-09-29,Jayakwadi,0.0,18.103
2010-09-30,Jayakwadi,124.098,16.115
2010-10-01,Jayakwadi,103.31,14.126
2010-10-02,Jayakwadi,0.0,9.888
2010-10-03,Jayakwadi,0.0,6.71
2010-10-04,Jayakwadi,0.0,4.944
2010-10-05,Jayakwadi,105.81,2.119
2010-10-06,Jayakwadi,0.0,0.353
2010-10-07,Jayakwadi,0.0,3.178
2010-10-08,Jayakwadi,0.0,12.925
2010-10-09,Jayakwadi,0.0,22.672
2010-10-10,Jayakwadi,0.0,32.419
2010-10-11,Jayakwadi,0.0,42.166
2010-10-12,Jayakwadi,0.0,51.913
2010-10-13,Jayakwadi,0.0,50.006
2010-10-14,Jayakwadi,0.0,48.099
2010-10-15,Jayakwadi,0.0,46.192
2010-10-16,Jayakwadi,0.0,44.285
2010-10-17,Jayakwadi,0.0,42.378
2010-10-18,Jayakwadi,0.0,40.471
2010-10-19,Jayakwadi,0.0,38.564
2010-10-20,Jayakwadi,0.0,36.657
2010-10-21,Jayakwadi,0.0,34.75
2010-10-22,Jayakwadi,0.0,32.843
2010-10-23,Jayakwadi,200.402,30.936
2010-10-24,Jayakwadi,0.0,29.029
2010-10-25,Jayakwadi,0.0,27.122
2010-10-26,Jayakwadi,0.0,25.215
