Week,CRPS,RMSE,NSE,KGE,Reservoir,Basin
1,243.39810173338304,610.6043807288584,0.5077481736990002,0.3741483509575452,Nagarjuna Sagar,krishna
1,377.4349808442907,1210.002680021185,0.7195059143787232,0.6101841017023367,Srisailam,krishna
1,673.0319583082241,2559.6777607299564,0.7230354905339291,0.5024086770053799,Almatti,krishna
1,373.0086196478273,1505.7726299015949,0.6011824878371685,0.4931405987158748,Tungabhadra,krishna
1,872.8061640535519,1548.9348896285603,-3.3603847324731744,-0.46704963551718226,Mettur,cauvery
1,214.75514539116506,692.9120231941802,0.3391156468441435,0.41579471963342485,Krishnaraja Sagara,cauvery
1,45.61933066564892,49.06888330012715,,,Jayakwadi,godavari
1,408.75413880522495,1079.7754321422299,0.45478513839327817,0.3277584584052632,Ujjani,krishna
1,2708.9712795186456,11363.885365364706,-0.027601145249304793,-0.015966493027131712,Sardar Sarovar,narmada
1,365.7784578251553,932.2337200216034,0.5928142505992495,0.5967738713057696,Ukai,tapi
2,346.5175304916216,817.2449836538399,0.11889313640194765,0.005736407163095869,Nagarjuna Sagar,krishna
2,607.3877047433045,2166.6159690846757,0.10097066535932664,0.09014128923702713,Srisailam,krishna
2,1113.0993021780746,4320.681374730795,0.2108528127965733,0.07485499511407756,Almatti,krishna
2,563.1288238886441,2248.6962101666973,0.11055930031750405,0.027679832457593645,Tungabhadra,krishna
2,1160.2185598392753,1422.8394778749582,-2.869420209232656,-0.45481316526510507,Mettur,cauvery
2,265.921878160711,817.4097095355854,0.08023485009805698,0.07161253327341277,Krishnaraja Sagara,cauvery
2,52.89096252618267,39.474460756919584,,,Jayakwadi,godavari
2,538.0787862067309,1420.3859214740926,0.056561663479594126,-0.08663375167128184,Ujjani,krishna
2,3203.7736426229276,11499.673275767484,-0.05398356036097285,-0.30883626035546485,Sardar Sarovar,narmada
2,450.1890418781285,1185.519916847793,0.34141306454131504,0.26907414992015155,Ukai,tapi
3,417.77058551809336,935.2778371476287,-0.1522649366752742,-0.24340216902837586,Nagarjuna Sagar,krishna
3,776.6363304698523,2456.2253755191596,-0.15427176944853271,-0.22318121107319766,Srisailam,krishna
