Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Ukai,0.6540033494410364,0.0171669559079383,1506.9016987898565,,3,0.6504666893420303,0.7910796525177215
Tungabhadra,0.6269960139389298,0.018588178783859113,3568.3740094778,,3,0.611777197694476,0.542014161901293
Srisailam,0.5841111606685853,0.046924228125450905,8250.210808728241,,3,0.4175962837331021,0.452933653532244
Almatti,0.5535756107646744,0.023347638097797066,8937.593057515207,,3,0.48832914307964204,0.5332026785222601
Krishnaraja Sagara,0.5243967625362941,0.021357430287179683,2297.7718075086404,,3,0.4587778615475785,0.3817373115868169
Sardar Sarovar,0.5064148910017708,0.03779592014991162,6479.349728234832,,3,0.48663939859367866,0.7425155171346667
Ujjani,0.4536369256118138,0.05216535221292145,3752.7256104088465,,3,0.338062839185432,0.3580020682090226
Nagarjuna Sagar,0.4365940504585124,0.05992713935320587,4158.73000688189,,3,0.16242105151317354,0.5262086811770201
Jayakwadi,0.10741141031843393,0.05276726522901678,732.3004517889063,,3,-0.31760863455604715,0.36910218742433965
Mettur,-1.3384865131956047,0.7523910954488553,4523.214112183053,,3,-0.23897343615948685,-4.310243333276992
