Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
1,240.38148181271865,601.2273419033412,227.87437120572503,0.5227510847951683,0.3852467004714838,Nagarjuna Sagar,krishna
1,371.558084315555,1191.9050366146357,389.84791182329707,0.7278336971466194,0.613120077636174,Srisailam,krishna
1,658.6183681194517,2553.4341289195795,882.3352546046094,0.7243850005504043,0.4895708460838214,Almatti,krishna
1,366.2154953012011,1498.3848943773316,490.8143296532914,0.6050863049487347,0.47985409079328434,Tungabhadra,krishna
1,828.2319814353322,1426.1652070328932,990.4878015253498,-7.0166197679085425,-1.0762364422470378,Mettur,cauvery
1,212.2808499200901,691.3281141835133,253.48455743363522,0.34213358921786274,0.40929478048930845,Krishnaraja Sagara,cauvery
1,43.643422688475724,45.587454527917785,34.6455949234611,,,Jayakwadi,godavari
1,400.3734628476464,1072.0039303381084,466.07066706858745,0.46260507967066367,0.3389431476831346,Ujjani,krishna
1,2696.1100623704847,11306.67397029135,2936.770989579801,-0.01728029053079916,-0.029466148132331504,Sardar Sarovar,narmada
1,361.06318059196843,928.5991544953357,432.100700946883,0.5959831089575403,0.6060254335665682,Ukai,tapi
2,349.86836001504116,807.1859432656812,290.01404959101484,0.14044981558721203,0.06166597399295226,Nagarjuna Sagar,krishna
2,615.6367293842497,2168.123879499173,663.9585041438576,0.09971882611583471,0.12038538603292881,Srisailam,krishna
2,1110.2763555699673,4307.053103129499,1352.3209596943777,0.21582320984258863,0.09070911847958063,Almatti,krishna
2,568.4434948468463,2254.5379934984144,705.2842735744026,0.10593202434333138,0.03830179631417319,Tungabhadra,krishna
2,1099.1370996701773,1324.112951420369,1059.8558940302487,-5.829913580533477,-0.8389802193279641,Mettur,cauvery
2,266.7463014627492,820.1125069704083,312.4830320235043,0.07414231465047749,0.07594288901653046,Krishnaraja Sagara,cauvery
2,53.972809376215864,39.37151988164853,32.48270267381552,,,Jayakwadi,godavari
2,532.7382381516578,1409.1788252553474,612.0130547332816,0.07139072060931362,-0.05905077029120287,Ujjani,krishna
2,3215.2303422086593,11527.745993732018,3456.5107508694678,-0.059135758599895505,-0.2987887196761345,Sardar Sarovar,narmada
2,449.99055603003507,1183.9939946927434,588.4132947034896,0.3431073517949097,0.2836974189959577,Ukai,tapi
3,418.8887225094284,937.5431096765349,347.17838825482795,-0.15785334044077004,-0.2173922400306263,Nagarjuna Sagar,krishna
3,783.3872093544551,2469.8218042581934,807.2517921063359,-0.16708607467473469,-0.21633746016052413,Srisailam,krishna
3,1479.1342547620438,5004.629947376058,1727.4618507242812,-0.05875987026915608,-0.24666328438361118,Almatti,krishna
3,688.1530987694531,2433.3769846503196,807.0983075694428,-0.04153582964743885,-0.1810982066571325,Tungabhadra,krishna
3,1098.6428691747976,1212.3352295410004,957.3103170132919,-4.656137461257652,-0.703033628869693,Mettur,cauvery
3,272.7610252323162,808.5615389016045,331.6764428103962,0.10055210060903108,0.0527977400614521,Krishnaraja Sagara,cauvery
3,57.802548098994556,41.6798075220264,33.9192549311124,,,Jayakwadi,godavari
3,525.8664919624014,1459.615699818728,679.5702124548297,0.003728162698925064,-0.1635298390185791,Ujjani,krishna
3,3329.4572430409503,11508.80038626468,3698.151160277577,-0.054522528479498567,-0.35391442177895294,Sardar Sarovar,narmada
3,518.8083617151049,1329.757823042983,644.3962383135633,0.17106551708052453,0.10628357996079629,Ukai,tapi
4,434.63003299832536,994.8626377622646,373.57757773225137,-0.303676135532408,-0.4525359272741649,Nagarjuna Sagar,krishna
4,852.2996262685107,2547.437217796125,844.7214353524073,-0.24146946399915303,-0.3388455115381652,Srisailam,krishna
