Split,Reservoir,Week,NSE_gnn_ops,NSE_persist,NSE_clim,RMSE_gnn_ops_TMC
test,Almatti,1,0.279,-1.138,-28.448,6.246
test,Almatti,2,-0.754,-2.238,-28.864,9.651
test,Almatti,3,-0.885,-1.717,-27.666,10.086
test,Almatti,4,-0.095,0.37,-26.584,7.775
test,Almatti,5,-0.027,-0.389,-27.085,7.544
test,Almatti,6,-0.61,-2.022,-28.555,9.296
test,Almatti,7,-0.959,-2.072,-27.751,10.278
test,Almatti,8,-0.654,-0.541,-26.595,9.552
test,Almatti,9,-0.253,0.508,-26.358,8.401
test,Almatti,10,-0.525,-1.556,-27.355,9.227
test,Almatti,11,-0.765,-2.166,-26.977,9.908
test,Almatti,12,-0.75,-1.258,-26.676,9.863
test,Jayakwadi,1,0.638,-0.604,-3.911,5.239
test,Jayakwadi,2,0.011,-1.587,-4.033,8.447
test,Jayakwadi,3,-0.296,-1.505,-3.865,9.427
test,Jayakwadi,4,0.253,-0.123,-3.68,6.919
test,Jayakwadi,5,0.312,-0.74,-3.689,6.542
test,Jayakwadi,6,-0.136,-2.241,-3.979,8.258
test,Jayakwadi,7,-0.445,-2.288,-3.74,9.344
test,Jayakwadi,8,-0.084,-0.897,-3.527,8.191
test,Jayakwadi,9,0.369,0.02,-3.59,6.292
test,Jayakwadi,10,0.14,-1.803,-3.896,7.324
test,Jayakwadi,11,-0.142,-2.34,-3.814,8.45
test,Jayakwadi,12,-0.087,-1.549,-3.875,8.226
test,Krishnaraja Sagara,1,0.472,-1.117,-55.543,1.969
test,Krishnaraja Sagara,2,-0.137,-2.276,-56.857,2.861
test,Krishnaraja Sagara,3,-0.347,-1.745,-55.454,3.137
test,Krishnaraja Sagara,4,0.264,0.417,-54.16,2.336
test,Krishnaraja Sagara,5,0.334,-0.337,-54.855,2.223
test,Krishnaraja Sagara,6,0.058,-2.064,-57.833,2.6
test,Krishnaraja Sagara,7,-0.155,-2.131,-57.058,2.886
test,Krishnaraja Sagara,8,0.043,-0.532,-55.643,2.648
test,Krishnaraja Sagara,9,0.306,0.577,-53.937,2.299
test,Krishnaraja Sagara,10,0.276,-1.406,-52.415,2.421
test,Krishnaraja Sagara,11,0.223,-1.84,-48.108,2.632
test,Krishnaraja Sagara,12,0.318,-0.999,-44.317,2.584
test,Mettur,1,0.766,-0.493,-13.057,3.782
test,Mettur,2,0.432,-1.595,-14.245,5.62
test,Mettur,3,0.292,-1.547,-14.095,6.204
test,Mettur,4,0.617,-0.148,-13.466,4.627
