Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Almatti,1,v2_ridge,-10.439,24.87
test,Almatti,1,v1_median,-14.008,28.49
test,Almatti,1,persist,-1.138,10.75
test,Almatti,1,clim,-28.448,39.91
test,Almatti,2,v2_ridge,-11.641,25.91
test,Almatti,2,v1_median,-23.843,36.32
test,Almatti,2,persist,-2.238,13.11
test,Almatti,2,clim,-28.864,39.82
test,Almatti,3,v2_ridge,-12.524,27.02
test,Almatti,3,v1_median,-26.139,38.27
test,Almatti,3,persist,-1.717,12.11
test,Almatti,3,clim,-27.666,39.34
test,Almatti,4,v2_ridge,-12.645,27.45
test,Almatti,4,v1_median,-27.802,39.88
test,Almatti,4,persist,0.37,5.9
test,Almatti,4,clim,-26.584,39.03
test,Almatti,5,v2_ridge,-12.758,27.62
test,Almatti,5,v1_median,-29.743,41.28
test,Almatti,5,persist,-0.389,8.78
test,Almatti,5,clim,-27.085,39.46
test,Almatti,6,v2_ridge,-12.365,26.78
test,Almatti,6,v1_median,-33.964,43.32
test,Almatti,6,persist,-2.022,12.73
test,Almatti,6,clim,-28.555,39.83
test,Almatti,7,v2_ridge,-12.353,26.83
test,Almatti,7,v1_median,-35.737,44.51
test,Almatti,7,persist,-2.072,12.87
test,Almatti,7,clim,-27.751,39.37
test,Almatti,8,v2_ridge,-12.286,27.07
test,Almatti,8,v1_median,-36.673,45.59
test,Almatti,8,persist,-0.541,9.22
test,Almatti,8,clim,-26.595,39.02
test,Almatti,9,v2_ridge,-11.135,26.14
test,Almatti,9,v1_median,-38.942,47.43
test,Almatti,9,persist,0.508,5.27
test,Almatti,9,clim,-26.358,39.26
test,Almatti,10,v2_ridge,-11.263,26.16
test,Almatti,10,v1_median,-42.833,49.46
test,Almatti,10,persist,-1.556,11.94
test,Almatti,10,clim,-27.355,39.78
test,Almatti,11,v2_ridge,-11.324,26.18
test,Almatti,11,v1_median,-45.914,51.08
test,Almatti,11,persist,-2.166,13.27
test,Almatti,11,clim,-26.977,39.45
test,Almatti,12,v2_ridge,-11.331,26.18
test,Almatti,12,v1_median,-47.557,51.95
test,Almatti,12,persist,-1.258,11.2
test,Almatti,12,clim,-26.676,39.22
test,Jayakwadi,1,v2_ridge,-3.502,18.48
test,Jayakwadi,1,v1_median,-1.901,14.83
test,Jayakwadi,1,persist,-0.604,11.03
test,Jayakwadi,1,clim,-3.911,19.3
test,Jayakwadi,2,v2_ridge,-4.441,19.81
test,Jayakwadi,2,v1_median,-3.907,18.81
test,Jayakwadi,2,persist,-1.587,13.66
test,Jayakwadi,2,clim,-4.033,19.05
test,Jayakwadi,3,v2_ridge,-4.967,20.23
test,Jayakwadi,3,v1_median,-4.82,19.98
test,Jayakwadi,3,persist,-1.505,13.1
test,Jayakwadi,3,clim,-3.865,18.26
test,Jayakwadi,4,v2_ridge,-5.609,20.59
test,Jayakwadi,4,v1_median,-5.599,20.57
test,Jayakwadi,4,persist,-0.123,8.49
test,Jayakwadi,4,clim,-3.68,17.32
test,Jayakwadi,5,v2_ridge,-5.769,20.51
test,Jayakwadi,5,v1_median,-5.805,20.57
