Split,Reservoir,Week,Model,NSE,RMSE_TMC
test,Almatti,1,gnn,-14.112,28.59
test,Almatti,1,persist,-1.138,10.753
test,Almatti,1,clim,-28.448,39.91
test,Almatti,2,gnn,-24.111,36.516
test,Almatti,2,persist,-2.238,13.113
test,Almatti,2,clim,-28.864,39.822
test,Almatti,3,gnn,-26.923,38.822
test,Almatti,3,persist,-1.717,12.11
test,Almatti,3,clim,-27.666,39.335
test,Almatti,4,gnn,-28.881,40.619
test,Almatti,4,persist,0.37,5.899
test,Almatti,4,clim,-26.584,39.027
test,Almatti,5,gnn,-30.567,41.83
test,Almatti,5,persist,-0.389,8.776
test,Almatti,5,clim,-27.085,39.455
test,Almatti,6,gnn,-34.678,43.758
test,Almatti,6,persist,-2.022,12.734
test,Almatti,6,clim,-28.555,39.826
test,Almatti,7,gnn,-36.515,44.974
test,Almatti,7,persist,-2.072,12.869
test,Almatti,7,clim,-27.751,39.372
test,Almatti,8,gnn,-37.619,46.155
test,Almatti,8,persist,-0.541,9.219
test,Almatti,8,clim,-26.595,39.016
test,Almatti,9,gnn,-39.91,48.004
test,Almatti,9,persist,0.508,5.265
test,Almatti,9,clim,-26.358,39.256
test,Almatti,10,gnn,-43.832,50.022
test,Almatti,10,persist,-1.556,11.945
test,Almatti,10,clim,-27.355,39.781
test,Almatti,11,gnn,-46.838,51.585
test,Almatti,11,persist,-2.166,13.27
test,Almatti,11,clim,-26.977,39.449
test,Almatti,12,gnn,-48.369,52.381
test,Almatti,12,persist,-1.258,11.203
test,Almatti,12,clim,-26.676,39.219
test,Jayakwadi,1,gnn,-1.908,14.85
test,Jayakwadi,1,persist,-0.604,11.03
test,Jayakwadi,1,clim,-3.911,19.298
test,Jayakwadi,2,gnn,-3.911,18.821
test,Jayakwadi,2,persist,-1.587,13.659
test,Jayakwadi,2,clim,-4.033,19.053
test,Jayakwadi,3,gnn,-4.823,19.981
test,Jayakwadi,3,persist,-1.505,13.105
test,Jayakwadi,3,clim,-3.865,18.263
test,Jayakwadi,4,gnn,-5.599,20.571
test,Jayakwadi,4,persist,-0.123,8.487
test,Jayakwadi,4,clim,-3.68,17.324
test,Jayakwadi,5,gnn,-5.805,20.569
test,Jayakwadi,5,persist,-0.74,10.4
test,Jayakwadi,5,clim,-3.689,17.074
