Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Ukai,0.7048684428424881,0.01892521671149639,1391.4469966073293,,5,0.6504666893420303,0.7910796525177215
Tungabhadra,0.6443481719842982,0.024399295714233476,3483.4897464242545,,5,0.611777197694476,0.542014161901293
Srisailam,0.613850823864051,0.0183970617709301,14491.751959820289,,5,0.4175962837331021,0.452933653532244
Mettur,0.606554289914401,0.00728493122154865,2586.058058544215,,5,0.3524780986316237,0.35374016174026457
Almatti,0.5869270435895366,0.02098151229585727,8597.011348737213,,5,0.48832914307964204,0.5332026785222601
Krishnaraja Sagara,0.5854026995499468,0.014491959266023082,2145.445283877216,,5,0.4587778615475785,0.3817373115868169
Nagarjuna Sagar,0.5730539008680093,0.018061230586486426,10259.415147007998,,5,-0.023142973449584936,0.25824691922554155
Sardar Sarovar,0.5689560760877617,0.017577597371374615,6710.989297680846,,5,0.37569820138213617,0.6860900941051937
Ujjani,0.520482154190067,0.017080610801131182,3517.8736204315487,,5,0.338062839185432,0.35736266130031447
Jayakwadi,0.31067344021800813,0.022239724076420418,726.9570640273789,,5,0.00794678918920333,0.3538953210249409
