Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Ukai,0.7034255412306247,0.020091827869853637,1394.7683344794316,,5,0.6504666893420303,0.7910796525177215
Tungabhadra,0.6636904406018302,0.035636247481772264,3385.0328961706196,,5,0.611777197694476,0.542014161901293
Srisailam,0.6245151140586446,0.021554639988215562,14288.744468760206,,5,0.4175962837331021,0.452933653532244
Mettur,0.6232779591099649,0.03824046849187623,2527.785382032849,,5,0.3524780986316237,0.35374016174026457
Krishnaraja Sagara,0.6008621842074147,0.03330382859723635,2103.7888000901685,,5,0.4587778615475785,0.3817373115868169
Almatti,0.5964390712152317,0.017835570246370825,8497.97644268345,,5,0.48832914307964204,0.5332026785222601
Nagarjuna Sagar,0.5845952536242179,0.02113995001288858,10118.925711381178,,5,-0.023142973449584936,0.25824691922554155
Sardar Sarovar,0.5751184514082783,0.009628424393227485,6663.615362763466,,5,0.37569820138213617,0.6860900941051937
Ujjani,0.539006019398602,0.028383269202635224,3448.322827456247,,5,0.338062839185432,0.35736266130031447
Jayakwadi,0.29470220227202854,0.02492805347155122,735.3140070677289,,5,0.00794678918920333,0.3538953210249409
