CRPS,RMSE,NSE,KGE,Reservoir,Basin
238.36374940771438,631.5213375391078,0.47344521675960216,0.4356449556134231,Nagarjuna Sagar,krishna
379.8873813289887,1231.8463023867773,0.70928724130624,0.5986202866285129,Srisailam,krishna
684.2297682711898,2640.5598530583625,0.7052555994191596,0.4777547348722796,Almatti,krishna
389.99092329970347,1521.4543870493474,0.5928323213031812,0.5089179390315135,Tungabhadra,krishna
884.6221725212501,1539.6649990738058,-3.308349830133575,-0.4577364184079613,Mettur,cauvery
216.73939573880554,709.6922464550305,0.3067188429556742,0.3724471427629622,Krishnaraja Sagara,cauvery
39.72553035055288,35.521437914325965,,,Jayakwadi,godavari
510.06288197587565,1275.3356422041193,0.23941142729185716,0.08200990323216328,Ujjani,krishna
2885.950739765835,11760.229743841883,-0.10053156561804388,0.031140061973906286,Sardar Sarovar,narmada
383.0543467026827,978.1922324647525,0.5516766339224888,0.5164171900324986,Ukai,tapi
