Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Tungabhadra,0.6536182690218959,0.049526428460719224,3433.745271226811,,3,0.611777197694476,0.542014161901293
Ukai,0.6441419706063346,0.04297104444590847,1526.7309768664697,,3,0.6504666893420303,0.7910796525177215
Mettur,0.6117489623959877,0.026125955797624716,2568.0516129438943,,3,0.3524780986316236,-2.375987989563614
Srisailam,0.602126628012332,0.04437913409260554,8070.172670994838,,3,0.4175962837331021,0.452933653532244
Almatti,0.5865552912377464,0.03600185175931466,8597.740563200956,,3,0.48832914307964204,0.5332026785222601
Krishnaraja Sagara,0.574949151348017,0.026545631715236596,2171.892130233306,,3,0.4587778615475785,0.3817373115868169
Sardar Sarovar,0.5166257523117135,0.04992328146167317,7101.707847484863,,3,0.3756984894516685,0.5302824344069511
Ujjani,0.5044056668531384,0.05072281173810614,3573.7079949412814,,3,0.338062839185432,0.3580020682090226
Nagarjuna Sagar,0.41170586607078624,0.04335069383847534,9721.173542027027,,3,0.16242105151317354,0.52620868117702
Jayakwadi,0.24017339389266992,0.02752330490852858,763.2213619660156,,3,-0.31760863455604715,0.36910218742433965
