Reservoir,NSE_mean,NSE_std,RMSE_mean,MAE_mean,seeds,persistence_NSE,climatology_NSE
Ukai,0.6723557161555217,0.04677220979292933,1464.2660376021038,,3,0.6504666893420303,0.7910796525177215
Tungabhadra,0.6421483200792956,0.0587234963154965,3488.3454463375997,,3,0.611777197694476,0.542014161901293
Srisailam,0.6054870803245489,0.051197565232273125,8032.936677980398,,3,0.4175962837331021,0.452933653532244
Mettur,0.5996376667295134,0.030577813071073507,2607.529089558035,,3,0.3524780986316236,-2.375987989563614
Krishnaraja Sagara,0.585946752803235,0.0417307201935911,2142.5127254761533,,3,0.4587778615475785,0.3817373115868169
Almatti,0.5818440178477658,0.03627966307219171,8646.650632148432,,3,0.48832914307964204,0.5332026785222601
Sardar Sarovar,0.5400791551778497,0.04046779056393129,6928.903109724451,,3,0.3756984894516685,0.5302824344069511
Ujjani,0.49688841038321757,0.07255381185231334,3597.7414285085674,,3,0.338062839185432,0.3580020682090226
Nagarjuna Sagar,0.4127224474074677,0.06302308695812149,9708.017583342355,,3,0.16242105151317354,0.52620868117702
Jayakwadi,0.2914902721645228,0.03470300920933212,736.9332578002692,,3,-0.31760863455604715,0.36910218742433965
