Week,CRPS,RMSE,MAE,NSE,KGE,Reservoir,Basin
1,499.1506087430843,912.5159425896029,590.9996703376,-3.6760327318708512,-0.4001845435905196,Nagarjuna Sagar,krishna
1,394.7080393913257,1189.081956457655,430.10152351120246,0.7291214463095543,0.5524300266420121,Srisailam,krishna
1,640.5046080280259,2142.1846114706645,776.094526345058,0.8060153695943167,0.6877093052556758,Almatti,krishna
1,408.0649734848241,1431.1595559288876,530.0647633060704,0.6397271526999366,0.6988477912357649,Tungabhadra,krishna
1,216.31082240536415,405.9402271973377,251.37326657650092,0.35050503176660397,0.3262731208691405,Mettur,cauvery
1,203.83947487673444,713.4661230877269,253.80393340461313,0.2993260217021292,0.4700791467450237,Krishnaraja Sagara,cauvery
1,104.13522395228729,273.6255393259605,121.0940072923242,0.1861916576486189,0.4551319051328936,Jayakwadi,godavari
1,385.7135030809916,1062.9868668900504,454.91967087112954,0.47160752657164773,0.42148521030447506,Ujjani,krishna
1,3373.928584167746,12995.12386270881,3747.4067192264033,0.12176419820582074,0.20722747716012002,Sardar Sarovar,narmada
1,367.6728305849651,974.8994612817928,453.43845757419996,0.5546898282412716,0.6599050552947507,Ukai,tapi
2,626.5825032902671,812.634262583185,584.7358592974358,-2.713943293700764,-0.2284409198046624,Nagarjuna Sagar,krishna
2,627.178722591723,2049.004528942285,685.0320880731234,0.19592636948023368,0.2528247023600977,Srisailam,krishna
2,1094.5836068177261,4101.875163408189,1334.4136880311112,0.2887563383998657,0.2131796667846717,Almatti,krishna
2,614.6716894665091,2223.595053922164,761.3224344123188,0.13030530470894408,0.1761842823499069,Tungabhadra,krishna
2,276.3290482620734,449.683384449086,281.60505735669346,0.2122673865562219,0.2430662395777946,Mettur,cauvery
2,263.4989162562134,842.6996267301744,318.7904002580693,0.02244102156390082,0.08524593951381332,Krishnaraja Sagara,cauvery
2,113.9566690280219,306.64665343420916,138.11670642171333,-0.02208104730798799,0.02137956911908534,Jayakwadi,godavari
2,508.35426555349085,1369.8186728820597,589.6245390308743,0.12254068423927567,0.0687526305049857,Ujjani,krishna
2,4101.08894399613,13711.361949770055,4152.673953912965,0.02323484578319157,-0.09085898287415595,Sardar Sarovar,narmada
2,441.88384302020177,1150.3589961007979,578.1972021460767,0.3798993474081852,0.3394764672171905,Ukai,tapi
3,687.570029070029,821.0546472879199,602.3993969384234,-2.80378055922102,-0.28687796348364825,Nagarjuna Sagar,krishna
3,809.7525833241066,2544.0063698968374,897.8821556997308,-0.23824914068292702,-0.04934065423992595,Srisailam,krishna
